Measure Type Key:

GMDA_c - Configural GMDA Measures
BDR_c - Configural BDR parameters
GMDA_i - GMDA Measures (individual landmarks)
BDR_i - BDR parameters (individual landmarks)

Configural GMDA Measures

Measure Type,Filename,Measure,Score
GMDA_c,7,Canonical Organization,0,562326388888889
GMDA_c,7,SQRT(Canonical Organization),0,749884250327268
GMDA_c,7,Canonical Accuracy,0,903738839285714
GMDA_c,7,Num Landmarks Missing,2
GMDA_c,7,Scaling Bias,0,0298692242503103
GMDA_c,7,Rotational Bias,2,04632733390023
GMDA_c,7,Distance Accuracy,0.916000903609739
GMDA_c,7,Angle Accuracy,0.913030375053275

Configural BDR Parameters

Measure Type,Filename,Measure,Score
BDR_c,7,r,0.951172174563823
BDR_c,7,alpha 1,75.7137233956431
BDR_c,7,alpha 2,-49.0933140537802
BDR_c,7,beta 1,0.936698997741383
BDR_c,7,beta 2,-0.0190600725247761
BDR_c,7,scale,0.936892896084906
BDR_c,7,theta,-1.16570107531911
BDR_c,7,DMax,1866.47273871734
BDR_c,7,D,576.106983462011
BDR_c,7,DI,30.8660807903317

GMDA measures for individual landmarks

Measure Type,Filename,Landmark,Measure,Score
GMDA_i,7,25,Canonical Accuracy,0.941964285714286
GMDA_i,7,25,Scaling Bias,0.124813428027971
GMDA_i,7,25,Rotational Bias,-5.57256799654967
GMDA_i,7,25,Distance Accuracy,0.871712834210101
GMDA_i,7,25,Angle Accuracy,0.95484456895253
24 is missing. Unable to calculate GMDA measures
GMDA_i,7,33,Canonical Accuracy,0.869419642857143
GMDA_i,7,33,Scaling Bias,0.0311421746593404
GMDA_i,7,33,Rotational Bias,0.835693351111404
GMDA_i,7,33,Distance Accuracy,0.901866473682192
GMDA_i,7,33,Angle Accuracy,0.889421463221753
GMDA_i,7,32,Canonical Accuracy,0.849330357142857
GMDA_i,7,32,Scaling Bias,0.0352994589864996
GMDA_i,7,32,Rotational Bias,-1.63199366203143
GMDA_i,7,32,Distance Accuracy,0.908849112071778
GMDA_i,7,32,Angle Accuracy,0.888807755013873
GMDA_i,7,31,Canonical Accuracy,0.889508928571429
GMDA_i,7,31,Scaling Bias,0.0748139762079061
GMDA_i,7,31,Rotational Bias,2.10190454360109
GMDA_i,7,31,Distance Accuracy,0.896735051359094
GMDA_i,7,31,Angle Accuracy,0.881775886143349
28 is missing. Unable to calculate GMDA measures
GMDA_i,7,30,Canonical Accuracy,0.966517857142857
GMDA_i,7,30,Scaling Bias,0.000843934389193624
GMDA_i,7,30,Rotational Bias,14.1044719635296
GMDA_i,7,30,Distance Accuracy,0.935363754437148
GMDA_i,7,30,Angle Accuracy,0.911831301719393
GMDA_i,7,29,Canonical Accuracy,0.931919642857143
GMDA_i,7,29,Scaling Bias,-0.0354336784965368
GMDA_i,7,29,Rotational Bias,4.16619897442793
GMDA_i,7,29,Distance Accuracy,0.939917118904474
GMDA_i,7,29,Angle Accuracy,0.930531759546699
GMDA_i,7,27,Canonical Accuracy,0.859375
GMDA_i,7,27,Scaling Bias,-0.0468528145168577
GMDA_i,7,27,Rotational Bias,6.36347094622896
GMDA_i,7,27,Distance Accuracy,0.944969041366028
GMDA_i,7,27,Angle Accuracy,0.902409673243634
GMDA_i,7,26,Canonical Accuracy,0.921875
GMDA_i,7,26,Scaling Bias,0.0543273147449655
GMDA_i,7,26,Rotational Bias,-4.1276524147555
GMDA_i,7,26,Distance Accuracy,0.928593842847096
GMDA_i,7,26,Angle Accuracy,0.944620592584967

BDR Parameters for individual landmarks

Measure Type,Filename,Landmark,Measure,Score
BDR_i,7,25,r,0.9800128453192
BDR_i,7,25,alpha 1,-89.868308652066
BDR_i,7,25,alpha 2,13.1378010610478
BDR_i,7,25,beta 1,0.674213706952588
BDR_i,7,25,beta 2,-2.14526443602071E-06
BDR_i,7,25,scale,0.674213706956
BDR_i,7,25,theta,-0.000182308067687696
BDR_i,7,25,DMax,166.065875483195
BDR_i,7,25,D,33.0361850415486
BDR_i,7,25,DI,19.8934217794141
24 is missing. Unable to calculate BDR parameters
BDR_i,7,33,r,0.933695333358958
BDR_i,7,33,alpha 1,258.932224360737
BDR_i,7,33,alpha 2,-639.921134634772
BDR_i,7,33,beta 1,3.55196590596646
BDR_i,7,33,beta 2,4.58253139034002E-05
BDR_i,7,33,scale,3.55196590626206
BDR_i,7,33,theta,0.000739195462707273
BDR_i,7,33,DMax,198.685366849197
BDR_i,7,33,D,71.1429640027817
BDR_i,7,33,DI,35.8068463374958
BDR_i,7,32,r,0.864354199779247
BDR_i,7,32,alpha 1,171.475074327595
BDR_i,7,32,alpha 2,-727.718453986033
BDR_i,7,32,beta 1,4.03899605890894
BDR_i,7,32,beta 2,6.91419484201065E-05
BDR_i,7,32,scale,4.03899605950075
BDR_i,7,32,theta,0.000980823396115543
BDR_i,7,32,DMax,198.685366849197
BDR_i,7,32,D,99.9155932235013
BDR_i,7,32,DI,50.2883502735949
BDR_i,7,31,r,0.958832644582565
BDR_i,7,31,alpha 1,171.244213483146
BDR_i,7,31,alpha 2,-3.69499999999999
BDR_i,7,31,beta 1,0.782696629213483
BDR_i,7,31,beta 2,0
BDR_i,7,31,scale,0.782696629213483
BDR_i,7,31,theta,0
BDR_i,7,31,DMax,94.317283675899
BDR_i,7,31,D,26.7834449118913
BDR_i,7,31,DI,28.3971758600755
28 is missing. Unable to calculate BDR parameters
BDR_i,7,30,r,0.997650140411034
BDR_i,7,30,alpha 1,117.832270821259
BDR_i,7,30,alpha 2,-106.242798213616
BDR_i,7,30,beta 1,0.609825111648996
BDR_i,7,30,beta 2,0
BDR_i,7,30,scale,0.609825111648996
BDR_i,7,30,theta,0
BDR_i,7,30,DMax,64.1092816992984
BDR_i,7,30,D,4.39239696049191
BDR_i,7,30,DI,6.85142126703937
BDR_i,7,29,r,0.971203385477825
BDR_i,7,29,alpha 1,97.2894614577941
BDR_i,7,29,alpha 2,-55.5542635144403
BDR_i,7,29,beta 1,0.684991968991013
BDR_i,7,29,beta 2,-2.21239916990783E-06
BDR_i,7,29,scale,0.684991968994586
BDR_i,7,29,theta,-0.000185054921476295
BDR_i,7,29,DMax,167.648068882406
BDR_i,7,29,D,39.9424766361499
BDR_i,7,29,DI,23.8251933961535
BDR_i,7,27,r,0.994401935052273
BDR_i,7,27,alpha 1,65.4092813165314
BDR_i,7,27,alpha 2,11.0485240807872
BDR_i,7,27,beta 1,0.895511824615916
BDR_i,7,27,beta 2,5.7540710052362E-06
BDR_i,7,27,scale,0.895511824634402
BDR_i,7,27,theta,0.000368151457693479
BDR_i,7,27,DMax,132.732343458556
BDR_i,7,27,D,14.0249742310206
BDR_i,7,27,DI,10.5663577283255
BDR_i,7,26,r,0.923415417602902
BDR_i,7,26,alpha 1,-83.1306906990662
BDR_i,7,26,alpha 2,-106.211660594651
BDR_i,7,26,beta 1,0.476539938756893
BDR_i,7,26,beta 2,1.93684716145364E-06
BDR_i,7,26,scale,0.476539938760829
BDR_i,7,26,theta,0.000232872753964887
BDR_i,7,26,DMax,131.102059480391
BDR_i,7,26,D,50.3172311517834
BDR_i,7,26,DI,38.3801988704146
