Source,Target,Actual(N/S),Actual(E/W),Observed(N/S),Observed(E/W),Actual D,Actual D ratio,Actual Angle,Observed D,Observed D ratio,Observed Angle,O-A Distance Ratio,O-A Angle,ABS(O-A) Distance Ratio, ABS(O-A) Angle
25_0,24_8,N,W,N,W,127.47548783982,0.166763474594089,115.559965171824,99.3579387869938,0.173636365424313,130.100907546212,0.00687289083022399,14.540942374388,0.00687289083022399,14.540942374388
25_0,24_9,N,W,N,W,201.645728940635,0.263793008091504,105.828306596252,134.238593556399,0.234593247095982,118.474203610074,-0.029199760995522,12.645897013822,0.029199760995522,12.645897013822
25_0,24_10,N,W,N,W,279.465561384583,0.365596938169336,101.350140031991,173.254148579478,0.302776215180126,111.678589139614,-0.06282072298921,10.328449107623,0.06282072298921,10.328449107623
25_0,24_11,N,W,N,W,330.048481287219,0.431769530414502,123.882657656153,226.982378170641,0.396670821094734,134.821509052446,-0.035098709319768,10.938851396293,0.035098709319768,10.938851396293
25_0,24_12,N,W,N,W,415.986778636052,0.544194038917655,138.801117851356,302.418584085039,0.528501943763824,147.833956071704,-0.0156920951538311,9.032838220348,0.0156920951538311,9.032838220348
25_0,24_13,N,W,N,W,368.245841795939,0.481739329837913,148.209021413955,281.886501982624,0.492620401187746,155.253251787374,0.010881071349833,7.044230373419,0.010881071349833,7.044230373419
25_0,24_14,N,W,N,W,333.457643487145,0.436229397511688,159.826055051443,267.043067687592,0.466680249722553,163.465162142655,0.030450852210865,3.639107091212,0.030450852210865,3.639107091212
25_0,24_15,N,W,N,W,216.981566037302,0.283855355162203,147.994616791917,177.132718603876,0.309554342930178,154.592281891052,0.025698987767975,6.59766509913501,0.025698987767975,6.59766509913501
25_0,33_16,N,W,N,W,292.318319644869,0.382410920699816,102.847704858718,217.635015565051,0.380335517756595,111.850296658373,-0.00207540294322101,9.00259179965499,0.00207540294322101,9.00259179965499
25_0,33_17,N,W,N,W,307.938305509399,0.40284499128092,102.185723309628,234.437624966642,0.409699492711745,110.212789538885,0.006854501430825,8.027066229257,0.006854501430825,8.027066229257
