landmarkName,rectangleVertexNum,X,Y
a,0,-354,297
a,1,-277,297
a,2,-200,297
a,3,-200,236
a,4,-200,174
a,5,-277,174
a,6,-354,174
a,7,-354,236
b,8,-239,242
b,9,-160,242
b,10,-80,242
b,11,-80,113
b,12,-80,-16
b,13,-160,-16
b,14,-239,-16
b,15,-239,113
c,16,-69,232
c,17,-53,232
c,18,-36,232
c,19,-36,219
c,20,-36,205
c,21,-53,205
c,22,-69,205
c,23,-69,219
d,24,-36,227
d,25,-25,227
d,26,-13,227
d,27,-13,214
d,28,-13,201
d,29,-25,201
d,30,-36,201
d,31,-36,214
e,32,-13,222
e,33,4,222
e,34,21,222
e,35,21,178
e,36,21,134
e,37,4,134
e,38,-13,134
e,39,-13,178
f,40,49,67
f,41,131,67
f,42,214,67
f,43,214,-45
f,44,214,-157
f,45,131,-157
f,46,49,-157
f,47,49,-45
g,48,146,13
g,49,177,13
g,50,209,13
g,51,209,-16
g,52,209,-45
g,53,177,-45
g,54,146,-45
g,55,146,-16
h,56,46,-110
h,57,118,-110
h,58,191,-110
h,59,191,-174
h,60,191,-239
h,61,118,-239
h,62,46,-239
h,63,46,-174
i,64,-56,-141
i,65,-12,-141
i,66,33,-141
i,67,33,-181
i,68,33,-222
i,69,-12,-222
i,70,-56,-222
i,71,-56,-181
j,72,-354,25
j,73,-291,25
j,74,-227,25
j,75,-227,-57
j,76,-227,-139
j,77,-291,-139
j,78,-354,-139
j,79,-354,-57
