landmarkName,rectangleVertexNum,X,Y
a,0,-354,297
a,1,-277,297
a,2,-200,297
a,3,-200,236
a,4,-200,174
a,5,-277,174
a,6,-354,174
a,7,-354,236
b,8,161,-171
b,9,176,-171
b,10,191,-171
b,11,191,-186
b,12,191,-201
b,13,176,-201
b,14,161,-201
b,15,161,-186
c,16,227,-26
c,17,242,-26
c,18,257,-26
c,19,257,-41
c,20,257,-56
c,21,242,-56
c,22,227,-56
c,23,227,-41
d,24,247,-147
d,25,262,-147
d,26,277,-147
d,27,277,-162
d,28,277,-177
d,29,262,-177
d,30,247,-177
d,31,247,-162
e,32,206,-244
e,33,221,-244
e,34,236,-244
e,35,236,-259
e,36,236,-274
e,37,221,-274
e,38,206,-274
e,39,206,-259
f,40,99,-227
f,41,114,-227
f,42,129,-227
f,43,129,-242
f,44,129,-257
f,45,114,-257
f,46,99,-257
f,47,99,-242
g,48,26,-15
g,49,41,-15
g,50,56,-15
g,51,56,-30
g,52,56,-45
g,53,41,-45
g,54,26,-45
g,55,26,-30
h,56,73,-157
h,57,88,-157
h,58,103,-157
h,59,103,-172
h,60,103,-187
h,61,88,-187
h,62,73,-187
h,63,73,-172
i,64,152,85
i,65,167,85
i,66,182,85
i,67,182,70
i,68,182,55
i,69,167,55
i,70,152,55
i,71,152,70
j,72,74,26
j,73,89,26
j,74,104,26
j,75,104,11
j,76,104,-4
j,77,89,-4
j,78,74,-4
j,79,74,11
