Measure Type Key:

GMDA_c - Configural GMDA Measures
BDR_c - Configural BDR parameters
GMDA_i - GMDA Measures (individual landmarks)
BDR_i - BDR parameters (individual landmarks)

Configural GMDA Measures

Measure Type,Filename,Measure,Score
GMDA_c,2,Canonical Organization,0,9328125
GMDA_c,2,SQRT(Canonical Organization),0,965822188604093
GMDA_c,2,Canonical Accuracy,0,9328125
GMDA_c,2,Num Landmarks Missing,0
GMDA_c,2,Scaling Bias,0,0389380704339488
GMDA_c,2,Rotational Bias,-4,51996629887781
GMDA_c,2,Distance Accuracy,0.931757398408015
GMDA_c,2,Angle Accuracy,0.937113342720095

Configural BDR Parameters

Measure Type,Filename,Measure,Score
BDR_c,2,r,0.975253133198708
BDR_c,2,alpha 1,-61.3037740809071
BDR_c,2,alpha 2,-59.3083090994746
BDR_c,2,beta 1,0.821635609042038
BDR_c,2,beta 2,0.0764831095978266
BDR_c,2,scale,0.825187699920226
BDR_c,2,theta,5.31813310351373
BDR_c,2,DMax,1754.42032805711
BDR_c,2,D,387.886925267501
BDR_c,2,DI,22.1091216890458

GMDA measures for individual landmarks

Measure Type,Filename,Landmark,Measure,Score
GMDA_i,2,25,Canonical Accuracy,0.916666666666667
GMDA_i,2,25,Scaling Bias,0.0717619041006146
GMDA_i,2,25,Rotational Bias,2.78753384249834
GMDA_i,2,25,Distance Accuracy,0.91374836698077
GMDA_i,2,25,Angle Accuracy,0.947274396067083
GMDA_i,2,24,Canonical Accuracy,0.934895833333333
GMDA_i,2,24,Scaling Bias,0.0448981490421054
GMDA_i,2,24,Rotational Bias,-6.32689687644336
GMDA_i,2,24,Distance Accuracy,0.940202386035721
GMDA_i,2,24,Angle Accuracy,0.931943434492813
GMDA_i,2,33,Canonical Accuracy,0.9296875
GMDA_i,2,33,Scaling Bias,0.0319278868318324
GMDA_i,2,33,Rotational Bias,-6.93797595456743
GMDA_i,2,33,Distance Accuracy,0.944775573271845
GMDA_i,2,33,Angle Accuracy,0.939395765075139
GMDA_i,2,32,Canonical Accuracy,0.921875
GMDA_i,2,32,Scaling Bias,0.0297814599309766
GMDA_i,2,32,Rotational Bias,-5.41106086536008
GMDA_i,2,32,Distance Accuracy,0.94521263168844
GMDA_i,2,32,Angle Accuracy,0.945633090557317
GMDA_i,2,31,Canonical Accuracy,0.936631944444444
GMDA_i,2,31,Scaling Bias,0.0404489482213626
GMDA_i,2,31,Rotational Bias,-7.28738657136391
GMDA_i,2,31,Distance Accuracy,0.941586613827931
GMDA_i,2,31,Angle Accuracy,0.944046456512708
GMDA_i,2,28,Canonical Accuracy,0.960069444444444
GMDA_i,2,28,Scaling Bias,0.0468909107916947
GMDA_i,2,28,Rotational Bias,-0.316386926218574
GMDA_i,2,28,Distance Accuracy,0.918804748561628
GMDA_i,2,28,Angle Accuracy,0.94099556342992
GMDA_i,2,30,Canonical Accuracy,0.9609375
GMDA_i,2,30,Scaling Bias,0.0549477378831143
GMDA_i,2,30,Rotational Bias,0.511275659792273
GMDA_i,2,30,Distance Accuracy,0.908085757514823
GMDA_i,2,30,Angle Accuracy,0.956025906676851
GMDA_i,2,29,Canonical Accuracy,0.938368055555556
GMDA_i,2,29,Scaling Bias,0.00528939371006382
GMDA_i,2,29,Rotational Bias,-10.1200588325348
GMDA_i,2,29,Distance Accuracy,0.934602883823941
GMDA_i,2,29,Angle Accuracy,0.907661513036596
GMDA_i,2,27,Canonical Accuracy,0.918402777777778
GMDA_i,2,27,Scaling Bias,-0.015632428919116
GMDA_i,2,27,Rotational Bias,-4.77619852566948
GMDA_i,2,27,Distance Accuracy,0.954539763351414
GMDA_i,2,27,Angle Accuracy,0.917232382994435
GMDA_i,2,26,Canonical Accuracy,0.910590277777778
GMDA_i,2,26,Scaling Bias,0.0790667427468393
GMDA_i,2,26,Rotational Bias,-7.40344505898297
GMDA_i,2,26,Distance Accuracy,0.916015259023636
GMDA_i,2,26,Angle Accuracy,0.940924918358095

BDR Parameters for individual landmarks

Measure Type,Filename,Landmark,Measure,Score
BDR_i,2,25,r,0.977549855879356
BDR_i,2,25,alpha 1,-223.094438831002
BDR_i,2,25,alpha 2,82.7003687709566
BDR_i,2,25,beta 1,0.31373848797472
BDR_i,2,25,beta 2,0
BDR_i,2,25,scale,0.31373848797472
BDR_i,2,25,theta,0
BDR_i,2,25,DMax,77.4717690517004
BDR_i,2,25,D,16.3236306820858
BDR_i,2,25,DI,21.0704245971101
BDR_i,2,24,r,0.980481179293089
BDR_i,2,24,alpha 1,-96.001062475559
BDR_i,2,24,alpha 2,-83.8626757144944
BDR_i,2,24,beta 1,0.783078057928962
BDR_i,2,24,beta 2,9.07323278376762E-07
BDR_i,2,24,scale,0.783078057929488
BDR_i,2,24,theta,6.63864783064253E-05
BDR_i,2,24,DMax,296.44202637278
BDR_i,2,24,D,58.2843450365223
BDR_i,2,24,DI,19.6612962573765
BDR_i,2,33,r,0.999775964561746
BDR_i,2,33,alpha 1,-72.1094308496013
BDR_i,2,33,alpha 2,-171.706901292274
BDR_i,2,33,beta 1,1.26395380808359
BDR_i,2,33,beta 2,0
BDR_i,2,33,scale,1.26395380808359
BDR_i,2,33,theta,0
BDR_i,2,33,DMax,66.028402979324
BDR_i,2,33,D,1.39759013298519
BDR_i,2,33,DI,2.1166499111342
BDR_i,2,32,r,0.999858203375844
BDR_i,2,32,alpha 1,-61.2857636728203
BDR_i,2,32,alpha 2,-250.065892276844
BDR_i,2,32,beta 1,1.65276913503423
BDR_i,2,32,beta 2,6.91419484201065E-05
BDR_i,2,32,scale,1.65276913648047
BDR_i,2,32,theta,0.00239691179215438
BDR_i,2,32,DMax,70.2842443226076
BDR_i,2,32,D,1.18356067651284
BDR_i,2,32,DI,1.68396301037292
BDR_i,2,31,r,0.990594706101833
BDR_i,2,31,alpha 1,-73.1208988764045
BDR_i,2,31,alpha 2,-47.255
BDR_i,2,31,beta 1,0.780224719101124
BDR_i,2,31,beta 2,0
BDR_i,2,31,scale,0.780224719101124
BDR_i,2,31,theta,0
BDR_i,2,31,DMax,91.0048075653149
BDR_i,2,31,D,12.4520811851953
BDR_i,2,31,DI,13.6828828260071
BDR_i,2,28,r,0.983032774025948
BDR_i,2,28,alpha 1,-20.6591075725521
BDR_i,2,28,alpha 2,-89.1881268067376
BDR_i,2,28,beta 1,0.662486070961386
BDR_i,2,28,beta 2,0
BDR_i,2,28,scale,0.662486070961386
BDR_i,2,28,theta,0
BDR_i,2,28,DMax,229.62986521792
BDR_i,2,28,D,42.1210063589759
BDR_i,2,28,DI,18.343000079281
BDR_i,2,30,r,0.999579517648339
BDR_i,2,30,alpha 1,8.89420334321982
BDR_i,2,30,alpha 2,-88.5274605393243
