Map_Identifier,Total_Basemap_Junctions_nTL,Aligned_Pairs_nDL,Canonical_Organization_Score,Canonical_Accuracy_Score,Scaling_Bias_Score,Distance_Accuracy_Score,Rotational_Bias_Score,Angle_Accuracy_Score
AS_Sketch_1.jpg.geojson,32,5,0.0151,0.75,0.0249,0.8623,-36.99,0.7942
AS_Sketch_10.jpg.geojson,31,8,0.0419,0.6964,0.0416,0.8659,-44.77,0.7512
AS_Sketch_2.jpg.geojson,32,17,0.1947,0.71,0.0061,0.8921,-43.95,0.7552
AS_Sketch_3.jpg.geojson,28,5,0.0187,0.707,0.0082,0.8209,-36.42,0.7973
AS_Sketch_4.jpg.geojson,32,22,0.3483,0.7478,0.0119,0.9142,-41.74,0.7677
AS_Sketch_5.jpg.geojson,32,6,0.0213,0.7047,0.016,0.8673,-37.69,0.7906
AS_Sketch_6.jpg.geojson,32,5,0.0153,0.757,0.0217,0.8515,-36.41,0.7975
AS_Sketch_7.jpg.geojson,32,15,0.1626,0.7682,-0.0041,0.8968,-41.83,0.7669
AS_Sketch_8.jpg.geojson,31,8,0.0437,0.7263,-0.0199,0.9216,-38.98,0.7835
AS_Sketch_9.jpg.geojson,32,6,0.0255,0.8443,0.0186,0.8819,-35.89,0.8005
CM_Sketch_1.jpg.geojson,32,5,0.0151,0.75,0.0226,0.8639,-36.63,0.7962
CM_Sketch_10.jpg.geojson,31,8,0.0412,0.6844,0.0454,0.8642,-44.91,0.7504
CM_Sketch_2.jpg.geojson,31,16,0.1798,0.6966,0.0098,0.894,-45.55,0.7463
CM_Sketch_3.jpg.geojson,32,5,0.0143,0.707,0.0081,0.8227,-36.1,0.7991
CM_Sketch_4.jpg.geojson,32,22,0.3464,0.7439,0.0128,0.9149,-41.56,0.7687
CM_Sketch_5.jpg.geojson,32,7,0.0296,0.6983,0.0333,0.8418,-40.93,0.7699
CM_Sketch_6.jpg.geojson,32,5,0.0155,0.7664,0.025,0.8515,-36.34,0.7979
CM_Sketch_7.jpg.geojson,32,15,0.1623,0.7664,-0.0046,0.8977,-41.84,0.7669
CM_Sketch_8.jpg.geojson,32,10,0.0628,0.692,0.0245,0.9024,-40.41,0.7754
CM_Sketch_9.jpg.geojson,32,6,0.0255,0.8443,0.0123,0.8823,-35.84,0.8009
JK_Sketch_1.jpg.geojson,32,5,0.0151,0.75,0.0222,0.8644,-36.58,0.7965
JK_Sketch_10.jpg.geojson,31,8,0.0419,0.6964,0.0441,0.8621,-44.86,0.7507
JK_Sketch_2.jpg.geojson,31,16,0.1773,0.6872,0.0109,0.8935,-45.37,0.7474
JK_Sketch_3.jpg.geojson,32,6,0.0218,0.7224,-0.0041,0.8266,-36.98,0.7947
JK_Sketch_4.jpg.geojson,32,22,0.3463,0.7435,0.0129,0.914,-41.72,0.7678
JK_Sketch_5.jpg.geojson,32,7,0.0292,0.6905,0.0184,0.8719,-39.39,0.78
JK_Sketch_6.jpg.geojson,32,5,0.0153,0.757,0.0225,0.8521,-36.57,0.7966
JK_Sketch_7.jpg.geojson,32,15,0.1633,0.7714,-0.0069,0.898,-41.83,0.767
JK_Sketch_8.jpg.geojson,32,10,0.0626,0.6905,0.023,0.904,-40.36,0.7756
JK_Sketch_9.jpg.geojson,32,6,0.0249,0.8224,0.0129,0.8826,-36.32,0.7981
