Object 1, Object 2, Relations
 ,RCC8, 
g.53.54.55.56,g.84.85.86.87.88.89.90.91.92.93.94.95.96.97.98.99.100.101.102.103.104.105.106.107.108,dc
g.53.54.55.56,g.59,dc
g.53.54.55.56,g.70.71.72,dc
g.53.54.55.56,g.69,dc
g.84.85.86.87.88.89.90.91.92.93.94.95.96.97.98.99.100.101.102.103.104.105.106.107.108,g.59,dc
g.84.85.86.87.88.89.90.91.92.93.94.95.96.97.98.99.100.101.102.103.104.105.106.107.108,g.70.71.72,dc
g.84.85.86.87.88.89.90.91.92.93.94.95.96.97.98.99.100.101.102.103.104.105.106.107.108,g.69,dc
g.59,g.70.71.72,dc
g.59,g.69,dc
g.70.71.72,g.69,dc
 ,DE9IM : line_polygon, 
g.0,g.53.54.55.56,disjoint
g.0,g.84.85.86.87.88.89.90.91.92.93.94.95.96.97.98.99.100.101.102.103.104.105.106.107.108,disjoint
g.0,g.59,disjoint
g.0,g.70.71.72,disjoint
g.0,g.69,disjoint
g.35.42.44,g.53.54.55.56,disjoint
g.35.42.44,g.84.85.86.87.88.89.90.91.92.93.94.95.96.97.98.99.100.101.102.103.104.105.106.107.108,disjoint
g.35.42.44,g.59,disjoint
g.35.42.44,g.70.71.72,disjoint
g.35.42.44,g.69,disjoint
g.46,g.53.54.55.56,disjoint
g.46,g.84.85.86.87.88.89.90.91.92.93.94.95.96.97.98.99.100.101.102.103.104.105.106.107.108,disjoint
g.46,g.59,disjoint
g.46,g.70.71.72,disjoint
g.46,g.69,disjoint
g.23.27.45,g.53.54.55.56,disjoint
g.23.27.45,g.84.85.86.87.88.89.90.91.92.93.94.95.96.97.98.99.100.101.102.103.104.105.106.107.108,disjoint
g.23.27.45,g.59,disjoint
g.23.27.45,g.70.71.72,disjoint
g.23.27.45,g.69,disjoint
g.26,g.53.54.55.56,disjoint
g.26,g.84.85.86.87.88.89.90.91.92.93.94.95.96.97.98.99.100.101.102.103.104.105.106.107.108,disjoint
g.26,g.59,disjoint
g.26,g.70.71.72,disjoint
g.26,g.69,disjoint
g.24,g.53.54.55.56,disjoint
g.24,g.84.85.86.87.88.89.90.91.92.93.94.95.96.97.98.99.100.101.102.103.104.105.106.107.108,disjoint
g.24,g.59,disjoint
g.24,g.70.71.72,disjoint
g.24,g.69,disjoint
g.11,g.53.54.55.56,disjoint
g.11,g.84.85.86.87.88.89.90.91.92.93.94.95.96.97.98.99.100.101.102.103.104.105.106.107.108,disjoint
g.11,g.59,disjoint
g.11,g.70.71.72,disjoint
g.11,g.69,disjoint
g.12,g.53.54.55.56,disjoint
g.12,g.84.85.86.87.88.89.90.91.92.93.94.95.96.97.98.99.100.101.102.103.104.105.106.107.108,disjoint
g.12,g.59,disjoint
g.12,g.70.71.72,disjoint
g.12,g.69,disjoint
g.13,g.53.54.55.56,disjoint
g.13,g.84.85.86.87.88.89.90.91.92.93.94.95.96.97.98.99.100.101.102.103.104.105.106.107.108,disjoint
g.13,g.59,disjoint
g.13,g.70.71.72,disjoint
g.13,g.69,disjoint
g.14.15,g.53.54.55.56,disjoint
