Object 1, Object 2, Relations
 ,RCC8, 
g.10,g.73,dc
g.10,g.9,dc
g.10,g.8,dc
g.73,g.9,dc
g.73,g.8,dc
g.9,g.8,dc
 ,DE9IM : line_polygon, 
g.50.51.52,g.10,disjoint
g.50.51.52,g.73,disjoint
g.50.51.52,g.9,disjoint
g.50.51.52,g.8,disjoint
g.67,g.10,disjoint
g.67,g.73,disjoint
g.67,g.9,disjoint
g.67,g.8,disjoint
g.4,g.10,disjoint
g.4,g.73,disjoint
g.4,g.9,disjoint
g.4,g.8,disjoint
g.16,g.10,disjoint
g.16,g.73,disjoint
g.16,g.9,disjoint
g.16,g.8,disjoint
g.0,g.10,disjoint
g.0,g.73,disjoint
g.0,g.9,disjoint
g.0,g.8,disjoint
g.2,g.10,disjoint
g.2,g.73,disjoint
g.2,g.9,disjoint
g.2,g.8,disjoint
g.53,g.10,disjoint
g.53,g.73,disjoint
g.53,g.9,disjoint
g.53,g.8,disjoint
g.72,g.10,disjoint
g.72,g.73,disjoint
g.72,g.9,disjoint
g.72,g.8,disjoint
g.4,g.10,disjoint
g.4,g.73,disjoint
g.4,g.9,disjoint
g.4,g.8,disjoint
g.11,g.10,disjoint
g.11,g.73,disjoint
g.11,g.9,disjoint
g.11,g.8,disjoint
 ,leftRight, 
g.50.51.52,g.10,nonAdjacent
g.50.51.52,g.73,nonAdjacent
g.50.51.52,g.9,nonAdjacent
g.50.51.52,g.8,right
g.67,g.10,nonAdjacent
g.67,g.73,nonAdjacent
g.67,g.9,nonAdjacent
g.67,g.8,right
g.53,g.10,left
g.53,g.73,left
g.53,g.9,nonAdjacent
g.53,g.8,right
g.4,g.10,nonAdjacent
g.4,g.73,nonAdjacent
g.4,g.9,nonAdjacent
g.4,g.8,nonAdjacent
 ,opra, 
g.50.51.52,g.67,right_of
g.50.51.52,g.4,front_of
g.50.51.52,g.16,nonAdjacent
g.50.51.52,g.0,nonAdjacent
g.50.51.52,g.2,nonAdjacent
g.50.51.52,g.53,nonAdjacent
g.50.51.52,g.72,nonAdjacent
g.50.51.52,g.4,nonAdjacent
g.50.51.52,g.11,nonAdjacent
g.67,g.4,left_of
g.67,g.16,nonAdjacent
g.67,g.0,nonAdjacent
g.67,g.2,right_of
g.67,g.53,half_left
g.67,g.72,nonAdjacent
g.67,g.4,nonAdjacent
g.67,g.11,nonAdjacent
g.4,g.16,left_of
g.4,g.0,right_of
g.4,g.2,nonAdjacent
g.4,g.53,nonAdjacent
g.4,g.72,nonAdjacent
g.4,g.4,nonAdjacent
g.4,g.11,front_of
g.16,g.0,back_of
g.16,g.2,nonAdjacent
g.16,g.53,nonAdjacent
g.16,g.72,nonAdjacent
g.16,g.4,nonAdjacent
g.16,g.11,right_of
g.0,g.2,right_of
g.0,g.53,nonAdjacent
g.0,g.72,back_of
g.0,g.4,nonAdjacent
g.0,g.11,left_of
g.2,g.53,sharp_left_of
g.2,g.72,right_of
g.2,g.4,nonAdjacent
g.2,g.11,nonAdjacent
g.53,g.72,sharp_left_of
g.53,g.4,half_left
g.53,g.11,nonAdjacent
g.72,g.4,right_of
g.72,g.11,nonAdjacent
g.4,g.11,nonAdjacent
 ,streetTopology, 
g.50.51.52,g.67,connected
g.50.51.52,g.4,connected
g.50.51.52,g.16,disconnected
g.50.51.52,g.0,disconnected
g.50.51.52,g.2,disconnected
g.50.51.52,g.53,disconnected
g.50.51.52,g.72,disconnected
g.50.51.52,g.4,disconnected
g.50.51.52,g.11,disconnected
g.67,g.4,connected
g.67,g.16,disconnected
g.67,g.0,disconnected
g.67,g.2,connected
g.67,g.53,connected
g.67,g.72,disconnected
g.67,g.4,disconnected
g.67,g.11,disconnected
g.4,g.16,connected
g.4,g.0,connected
g.4,g.2,disconnected
g.4,g.53,disconnected
g.4,g.72,disconnected
g.4,g.4,disconnected
g.4,g.11,connected
g.16,g.0,connected
g.16,g.2,disconnected
g.16,g.53,disconnected
g.16,g.72,disconnected
g.16,g.4,disconnected
g.16,g.11,connected
g.0,g.2,connected
g.0,g.53,disconnected
g.0,g.72,connected
g.0,g.4,disconnected
g.0,g.11,connected
g.2,g.53,connected
g.2,g.72,connected
g.2,g.4,disconnected
g.2,g.11,disconnected
g.53,g.72,connected
g.53,g.4,connected
g.53,g.11,disconnected
g.72,g.4,connected
g.72,g.11,disconnected
g.4,g.11,disconnected
 ,linearOrdering, 
g.10,g.73,after
g.10,g.8,after
g.73,g.8,after
