Object 1 , Object 2, Relations
 ,RCC8, 
g.60.62.64,g.84.86,dc
g.60.62.64,g.68,dc
g.60.62.64,g.76,dc
g.60.62.64,g.78,dc
g.60.62.64,g.116,dc
g.60.62.64,g.114,dc
g.60.62.64,g.118,dc
g.84.86,g.68,dc
g.84.86,g.76,dc
g.84.86,g.78,dc
g.84.86,g.116,dc
g.84.86,g.114,dc
g.84.86,g.118,dc
g.68,g.76,dc
g.68,g.78,dc
g.68,g.116,dc
g.68,g.114,dc
g.68,g.118,dc
g.76,g.78,null
g.76,g.116,dc
g.76,g.114,dc
g.76,g.118,dc
g.78,g.116,dc
g.78,g.114,dc
g.78,g.118,dc
g.116,g.114,dc
g.116,g.118,dc
g.114,g.118,dc
 ,DE9IM : line_polygon, 
g.60.62.64,g.123.126,disjoint
g.60.62.64,g.15.17,disjoint
g.60.62.64,g.13.14.31,disjoint
g.60.62.64,g.10.11.50.51,disjoint
g.60.62.64,g.0,disjoint
g.60.62.64,g.2,disjoint
g.60.62.64,g.54,disjoint
g.60.62.64,g.53,disjoint
g.60.62.64,g.52,disjoint
g.60.62.64,g.1,disjoint
g.84.86,g.123.126,disjoint
g.84.86,g.15.17,disjoint
g.84.86,g.13.14.31,disjoint
g.84.86,g.10.11.50.51,disjoint
g.84.86,g.0,disjoint
g.84.86,g.2,disjoint
g.84.86,g.54,disjoint
g.84.86,g.53,disjoint
g.84.86,g.52,disjoint
g.84.86,g.1,disjoint
g.123.126,g.68,disjoint
g.123.126,g.76,disjoint
g.123.126,g.78,disjoint
g.123.126,g.116,disjoint
g.123.126,g.114,disjoint
g.123.126,g.118,disjoint
g.15.17,g.68,disjoint
g.15.17,g.76,disjoint
g.15.17,g.78,disjoint
g.15.17,g.116,disjoint
g.15.17,g.114,disjoint
g.15.17,g.118,disjoint
g.13.14.31,g.68,disjoint
g.13.14.31,g.76,disjoint
g.13.14.31,g.78,disjoint
g.13.14.31,g.116,disjoint
g.13.14.31,g.114,disjoint
g.13.14.31,g.118,disjoint
