CM_Sketch_9.png
Correctness
Qualitative Spatial Aspects , Relations in Base map , Relations in Sketch Map , Correct Relations, Wrong Relations, Missing Relations, Accuracy Rate (%)
Topological Relations between Landmarks and Regions,1,1,1,0,0,100
Linear Ordering of Landmarks along Street Segments,1,1,1,0,0,100
Left-Right Relations of Landmarks wrt. Street-segments,2,2,2,0,0,100
Topological Relations between street-segments and regions/landmarks,0,0,0,0,0,0
Connectivity of street segments,300,300,300,0,0,100
Relative Orientation of Connected Street-segments,48,48,27,21,0,56.25
    
AS_Sketch_1.png
Correctness
Qualitative Spatial Aspects , Relations in Base map , Relations in Sketch Map , Correct Relations, Wrong Relations, Missing Relations, Accuracy Rate (%)
Topological Relations between Landmarks and Regions,1,1,1,0,0,100
Linear Ordering of Landmarks along Street Segments,0,0,0,0,0,0
Left-Right Relations of Landmarks wrt. Street-segments,0,0,0,0,0,0
Topological Relations between street-segments and regions/landmarks,0,0,0,0,0,0
Connectivity of street segments,276,276,276,0,0,100
Relative Orientation of Connected Street-segments,48,48,27,21,0,56.25
    
AS_Sketch_4.png
Correctness
Qualitative Spatial Aspects , Relations in Base map , Relations in Sketch Map , Correct Relations, Wrong Relations, Missing Relations, Accuracy Rate (%)
Topological Relations between Landmarks and Regions,10,10,10,0,0,100
Linear Ordering of Landmarks along Street Segments,6,3,3,0,3,100
Left-Right Relations of Landmarks wrt. Street-segments,5,3,1,0,4,33.33
Topological Relations between street-segments and regions/landmarks,0,0,0,0,0,0
Connectivity of street segments,45,55,45,0,0,81.82
Relative Orientation of Connected Street-segments,12,16,7,5,0,43.75
    
AS_Sketch_10.png
Correctness
Qualitative Spatial Aspects , Relations in Base map , Relations in Sketch Map , Correct Relations, Wrong Relations, Missing Relations, Accuracy Rate (%)
Topological Relations between Landmarks and Regions,120,120,119,1,0,99.17
Linear Ordering of Landmarks along Street Segments,3,6,3,0,0,50
Left-Right Relations of Landmarks wrt. Street-segments,7,6,4,1,2,66.67
Topological Relations between street-segments and regions/landmarks,0,0,0,0,0,0
Connectivity of street segments,1653,1653,1653,0,0,100
Relative Orientation of Connected Street-segments,114,114,57,57,0,50
    
AS_Sketch_7.png
Correctness
Qualitative Spatial Aspects , Relations in Base map , Relations in Sketch Map , Correct Relations, Wrong Relations, Missing Relations, Accuracy Rate (%)
Topological Relations between Landmarks and Regions,3,3,3,0,0,100
Linear Ordering of Landmarks along Street Segments,1,1,0,0,1,0
Left-Right Relations of Landmarks wrt. Street-segments,4,2,1,0,3,50
Topological Relations between street-segments and regions/landmarks,0,0,0,0,0,0
Connectivity of street segments,45,45,45,0,0,100
Relative Orientation of Connected Street-segments,15,15,8,7,0,53.33
    
AS_Sketch_5.png
Correctness
Qualitative Spatial Aspects , Relations in Base map , Relations in Sketch Map , Correct Relations, Wrong Relations, Missing Relations, Accuracy Rate (%)
Topological Relations between Landmarks and Regions,15,15,15,0,0,100
Linear Ordering of Landmarks along Street Segments,3,6,3,0,0,50
Left-Right Relations of Landmarks wrt. Street-segments,3,4,2,0,1,50
Topological Relations between street-segments and regions/landmarks,0,0,0,0,0,0
