Object 1 , Object 2, Relations
 ,RCC8, 
g.77,g.105,dc
 ,DE9IM : line_polygon, 
g.6.19,g.77,disjoint
g.6.19,g.105,disjoint
g.5.8,g.77,disjoint
g.5.8,g.105,disjoint
g.27.28,g.77,disjoint
g.27.28,g.105,disjoint
g.63.64,g.77,disjoint
g.63.64,g.105,disjoint
g.41.43.45,g.77,disjoint
g.41.43.45,g.105,disjoint
g.48.52.53.55.59.65,g.77,disjoint
g.48.52.53.55.59.65,g.105,disjoint
g.31.33.39,g.77,disjoint
g.31.33.39,g.105,disjoint
g.12.14.16.17.113.115,g.77,disjoint
g.12.14.16.17.113.115,g.105,disjoint
g.36.37,g.77,disjoint
g.36.37,g.105,disjoint
g.0,g.77,disjoint
g.0,g.105,disjoint
g.21,g.77,disjoint
g.21,g.105,disjoint
g.4,g.77,disjoint
g.4,g.105,disjoint
g.9,g.77,disjoint
g.9,g.105,disjoint
g.111,g.77,disjoint
g.111,g.105,disjoint
g.112,g.77,disjoint
g.112,g.105,disjoint
g.10,g.77,disjoint
g.10,g.105,disjoint
g.25,g.77,disjoint
g.25,g.105,disjoint
g.26,g.77,disjoint
g.26,g.105,disjoint
g.46,g.77,disjoint
g.46,g.105,disjoint
g.66,g.77,disjoint
g.66,g.105,disjoint
g.68,g.77,disjoint
g.68,g.105,disjoint
g.67,g.77,disjoint
g.67,g.105,disjoint
g.38,g.77,disjoint
g.38,g.105,disjoint
g.40,g.77,disjoint
g.40,g.105,disjoint
 ,leftRight, 
g.63.64,g.77,nonAdjacent
g.63.64,g.105,nonAdjacent
g.41.43.45,g.77,nonAdjacent
g.41.43.45,g.105,nonAdjacent
g.31.33.39,g.77,nonAdjacent
g.31.33.39,g.105,nonAdjacent
g.0,g.77,nonAdjacent
g.0,g.105,nonAdjacent
g.4,g.77,nonAdjacent
g.4,g.105,nonAdjacent
g.66,g.77,nonAdjacent
g.66,g.105,nonAdjacent
g.68,g.77,nonAdjacent
g.68,g.105,nonAdjacent
 ,opra, 
g.6.19,g.5.8,nonAdjacent
g.6.19,g.27.28,nonAdjacent
g.6.19,g.63.64,nonAdjacent
g.6.19,g.41.43.45,nonAdjacent
g.6.19,g.48.52.53.55.59.65,nonAdjacent
g.6.19,g.31.33.39,nonAdjacent
g.6.19,g.12.14.16.17.113.115,nonAdjacent
g.6.19,g.36.37,nonAdjacent
g.6.19,g.0,front_of
g.6.19,g.21,right_of
g.6.19,g.4,half_left
g.6.19,g.9,nonAdjacent
g.6.19,g.111,nonAdjacent
g.6.19,g.112,nonAdjacent
g.6.19,g.10,nonAdjacent
g.6.19,g.25,left_of
g.6.19,g.26,half_left
g.6.19,g.46,nonAdjacent
g.6.19,g.66,nonAdjacent
g.6.19,g.68,nonAdjacent
g.6.19,g.67,nonAdjacent
g.6.19,g.38,nonAdjacent
g.6.19,g.40,nonAdjacent
g.5.8,g.27.28,nonAdjacent
g.5.8,g.63.64,nonAdjacent
g.5.8,g.41.43.45,nonAdjacent
g.5.8,g.48.52.53.55.59.65,nonAdjacent
g.5.8,g.31.33.39,left_of
g.5.8,g.12.14.16.17.113.115,nonAdjacent
g.5.8,g.36.37,nonAdjacent
g.5.8,g.0,nonAdjacent
g.5.8,g.21,nonAdjacent
g.5.8,g.4,half_left
g.5.8,g.9,half_left
g.5.8,g.111,front_of
g.5.8,g.112,nonAdjacent
g.5.8,g.10,nonAdjacent
g.5.8,g.25,nonAdjacent
g.5.8,g.26,nonAdjacent
g.5.8,g.46,nonAdjacent
g.5.8,g.66,nonAdjacent
g.5.8,g.68,nonAdjacent
g.5.8,g.67,nonAdjacent
g.5.8,g.38,nonAdjacent
g.5.8,g.40,nonAdjacent
g.27.28,g.63.64,nonAdjacent
g.27.28,g.41.43.45,nonAdjacent
g.27.28,g.48.52.53.55.59.65,nonAdjacent
g.27.28,g.31.33.39,nonAdjacent
g.27.28,g.12.14.16.17.113.115,nonAdjacent
g.27.28,g.36.37,half_left
g.27.28,g.0,nonAdjacent
g.27.28,g.21,nonAdjacent
g.27.28,g.4,nonAdjacent
g.27.28,g.9,nonAdjacent
g.27.28,g.111,nonAdjacent
g.27.28,g.112,left_of
g.27.28,g.10,front_of
g.27.28,g.25,nonAdjacent
g.27.28,g.26,half_left
g.27.28,g.46,nonAdjacent
g.27.28,g.66,nonAdjacent
g.27.28,g.68,nonAdjacent
g.27.28,g.67,nonAdjacent
g.27.28,g.38,nonAdjacent
g.27.28,g.40,nonAdjacent
g.63.64,g.41.43.45,left_of
g.63.64,g.48.52.53.55.59.65,left_of
g.63.64,g.31.33.39,nonAdjacent
g.63.64,g.12.14.16.17.113.115,nonAdjacent
g.63.64,g.36.37,nonAdjacent
g.63.64,g.0,nonAdjacent
g.63.64,g.21,nonAdjacent
g.63.64,g.4,nonAdjacent
g.63.64,g.9,nonAdjacent
g.63.64,g.111,nonAdjacent
g.63.64,g.112,nonAdjacent
g.63.64,g.10,nonAdjacent
g.63.64,g.25,nonAdjacent
g.63.64,g.26,nonAdjacent
g.63.64,g.46,back_of
g.63.64,g.66,front_of
g.63.64,g.68,nonAdjacent
g.63.64,g.67,nonAdjacent
g.63.64,g.38,nonAdjacent
g.63.64,g.40,nonAdjacent
g.41.43.45,g.48.52.53.55.59.65,nonAdjacent
g.41.43.45,g.31.33.39,front_of
g.41.43.45,g.12.14.16.17.113.115,nonAdjacent
g.41.43.45,g.36.37,nonAdjacent
g.41.43.45,g.0,nonAdjacent
g.41.43.45,g.21,nonAdjacent
g.41.43.45,g.4,nonAdjacent
g.41.43.45,g.9,nonAdjacent
g.41.43.45,g.111,nonAdjacent
g.41.43.45,g.112,nonAdjacent
g.41.43.45,g.10,nonAdjacent
g.41.43.45,g.25,nonAdjacent
g.41.43.45,g.26,nonAdjacent
g.41.43.45,g.46,left_of
g.41.43.45,g.66,nonAdjacent
g.41.43.45,g.68,nonAdjacent
g.41.43.45,g.67,nonAdjacent
g.41.43.45,g.38,nonAdjacent
g.41.43.45,g.40,right_of
g.48.52.53.55.59.65,g.31.33.39,nonAdjacent
g.48.52.53.55.59.65,g.12.14.16.17.113.115,front_of
g.48.52.53.55.59.65,g.36.37,nonAdjacent
g.48.52.53.55.59.65,g.0,nonAdjacent
g.48.52.53.55.59.65,g.21,nonAdjacent
g.48.52.53.55.59.65,g.4,nonAdjacent
g.48.52.53.55.59.65,g.9,nonAdjacent
g.48.52.53.55.59.65,g.111,nonAdjacent
g.48.52.53.55.59.65,g.112,nonAdjacent
g.48.52.53.55.59.65,g.10,nonAdjacent
