Object 1 , Object 2, Relations
 ,RCC8, 
g.84.85.86.87.88.89.90.91.92.93.94.95.96.97.98.99.100.101.102.103.104.105.106.107.108,g.49,dc
g.84.85.86.87.88.89.90.91.92.93.94.95.96.97.98.99.100.101.102.103.104.105.106.107.108,g.51,dc
g.84.85.86.87.88.89.90.91.92.93.94.95.96.97.98.99.100.101.102.103.104.105.106.107.108,g.48,dc
g.84.85.86.87.88.89.90.91.92.93.94.95.96.97.98.99.100.101.102.103.104.105.106.107.108,g.50,dc
g.84.85.86.87.88.89.90.91.92.93.94.95.96.97.98.99.100.101.102.103.104.105.106.107.108,g.47,dc
g.84.85.86.87.88.89.90.91.92.93.94.95.96.97.98.99.100.101.102.103.104.105.106.107.108,g.57,dc
g.84.85.86.87.88.89.90.91.92.93.94.95.96.97.98.99.100.101.102.103.104.105.106.107.108,g.81,dc
g.84.85.86.87.88.89.90.91.92.93.94.95.96.97.98.99.100.101.102.103.104.105.106.107.108,g.59,dc
g.84.85.86.87.88.89.90.91.92.93.94.95.96.97.98.99.100.101.102.103.104.105.106.107.108,g.72,dc
g.84.85.86.87.88.89.90.91.92.93.94.95.96.97.98.99.100.101.102.103.104.105.106.107.108,g.70,dc
g.84.85.86.87.88.89.90.91.92.93.94.95.96.97.98.99.100.101.102.103.104.105.106.107.108,g.71,dc
g.84.85.86.87.88.89.90.91.92.93.94.95.96.97.98.99.100.101.102.103.104.105.106.107.108,g.60,dc
g.84.85.86.87.88.89.90.91.92.93.94.95.96.97.98.99.100.101.102.103.104.105.106.107.108,g.61,dc
g.84.85.86.87.88.89.90.91.92.93.94.95.96.97.98.99.100.101.102.103.104.105.106.107.108,g.53,dc
g.84.85.86.87.88.89.90.91.92.93.94.95.96.97.98.99.100.101.102.103.104.105.106.107.108,g.54,dc
g.84.85.86.87.88.89.90.91.92.93.94.95.96.97.98.99.100.101.102.103.104.105.106.107.108,g.56,dc
g.84.85.86.87.88.89.90.91.92.93.94.95.96.97.98.99.100.101.102.103.104.105.106.107.108,g.55,dc
g.49,g.51,dc
g.49,g.48,dc
g.49,g.50,dc
g.49,g.47,dc
g.49,g.57,dc
g.49,g.81,dc
g.49,g.59,dc
g.49,g.72,dc
g.49,g.70,dc
g.49,g.71,dc
g.49,g.60,dc
g.49,g.61,dc
g.49,g.53,dc
g.49,g.54,dc
g.49,g.56,dc
g.49,g.55,dc
g.51,g.48,dc
g.51,g.50,dc
g.51,g.47,dc
g.51,g.57,dc
g.51,g.81,dc
g.51,g.59,dc
g.51,g.72,dc
g.51,g.70,dc
g.51,g.71,dc
g.51,g.60,dc
g.51,g.61,dc
g.51,g.53,dc
g.51,g.54,dc
g.51,g.56,dc
g.51,g.55,dc
g.48,g.50,dc
g.48,g.47,dc
g.48,g.57,dc
g.48,g.81,dc
g.48,g.59,dc
g.48,g.72,dc
g.48,g.70,dc
g.48,g.71,dc
g.48,g.60,dc
g.48,g.61,dc
g.48,g.53,dc
g.48,g.54,dc
g.48,g.56,dc
g.48,g.55,dc
g.50,g.47,dc
g.50,g.57,dc
g.50,g.81,dc
g.50,g.59,dc
g.50,g.72,dc
g.50,g.70,dc
g.50,g.71,dc
g.50,g.60,dc
g.50,g.61,dc
g.50,g.53,dc
g.50,g.54,dc
g.50,g.56,dc
g.50,g.55,dc
g.47,g.57,dc
g.47,g.81,dc
g.47,g.59,dc
g.47,g.72,dc
g.47,g.70,dc
g.47,g.71,dc
g.47,g.60,dc
g.47,g.61,dc
g.47,g.53,dc
g.47,g.54,dc
g.47,g.56,dc
g.47,g.55,dc
g.57,g.81,dc
g.57,g.59,dc
g.57,g.72,dc
g.57,g.70,dc
g.57,g.71,dc
g.57,g.60,dc
g.57,g.61,dc
g.57,g.53,dc
g.57,g.54,dc
g.57,g.56,dc
g.57,g.55,dc
g.81,g.59,dc
g.81,g.72,dc
g.81,g.70,dc
g.81,g.71,dc
g.81,g.60,dc
g.81,g.61,dc
g.81,g.53,dc
g.81,g.54,dc
g.81,g.56,dc
g.81,g.55,dc
g.59,g.72,dc
g.59,g.70,dc
g.59,g.71,dc
g.59,g.60,dc
g.59,g.61,dc
g.59,g.53,dc
g.59,g.54,dc
g.59,g.56,dc
g.59,g.55,dc
g.72,g.70,ec
g.72,g.71,ec
g.72,g.60,dc
g.72,g.61,dc
g.72,g.53,dc
g.72,g.54,dc
g.72,g.56,dc
g.72,g.55,dc
g.70,g.71,dc
g.70,g.60,dc
g.70,g.61,dc
g.70,g.53,dc
g.70,g.54,dc
g.70,g.56,dc
g.70,g.55,dc
g.71,g.60,dc
g.71,g.61,dc
g.71,g.53,dc
g.71,g.54,dc
g.71,g.56,dc
g.71,g.55,dc
g.60,g.61,null
g.60,g.53,dc
g.60,g.54,dc
g.60,g.56,dc
g.60,g.55,dc
g.61,g.53,dc
g.61,g.54,dc
g.61,g.56,dc
g.61,g.55,dc
g.53,g.54,dc
g.53,g.56,dc
g.53,g.55,dc
g.54,g.56,dc
g.54,g.55,dc
g.56,g.55,dc
 ,DE9IM : line_polygon, 
g.84.85.86.87.88.89.90.91.92.93.94.95.96.97.98.99.100.101.102.103.104.105.106.107.108,g.122.123.124.125,disjoint
g.84.85.86.87.88.89.90.91.92.93.94.95.96.97.98.99.100.101.102.103.104.105.106.107.108,g.126.127.128,disjoint
g.84.85.86.87.88.89.90.91.92.93.94.95.96.97.98.99.100.101.102.103.104.105.106.107.108,g.130.131.132,disjoint
g.84.85.86.87.88.89.90.91.92.93.94.95.96.97.98.99.100.101.102.103.104.105.106.107.108,g.120.121,disjoint
g.84.85.86.87.88.89.90.91.92.93.94.95.96.97.98.99.100.101.102.103.104.105.106.107.108,g.142.144,disjoint
g.84.85.86.87.88.89.90.91.92.93.94.95.96.97.98.99.100.101.102.103.104.105.106.107.108,g.109.110,disjoint
g.84.85.86.87.88.89.90.91.92.93.94.95.96.97.98.99.100.101.102.103.104.105.106.107.108,g.0,disjoint
g.84.85.86.87.88.89.90.91.92.93.94.95.96.97.98.99.100.101.102.103.104.105.106.107.108,g.35,disjoint
g.84.85.86.87.88.89.90.91.92.93.94.95.96.97.98.99.100.101.102.103.104.105.106.107.108,g.34,disjoint
g.84.85.86.87.88.89.90.91.92.93.94.95.96.97.98.99.100.101.102.103.104.105.106.107.108,g.43,disjoint
g.84.85.86.87.88.89.90.91.92.93.94.95.96.97.98.99.100.101.102.103.104.105.106.107.108,g.44,disjoint
g.84.85.86.87.88.89.90.91.92.93.94.95.96.97.98.99.100.101.102.103.104.105.106.107.108,g.46,disjoint
g.84.85.86.87.88.89.90.91.92.93.94.95.96.97.98.99.100.101.102.103.104.105.106.107.108,g.45,disjoint
g.84.85.86.87.88.89.90.91.92.93.94.95.96.97.98.99.100.101.102.103.104.105.106.107.108,g.27,disjoint
g.84.85.86.87.88.89.90.91.92.93.94.95.96.97.98.99.100.101.102.103.104.105.106.107.108,g.23,disjoint
g.84.85.86.87.88.89.90.91.92.93.94.95.96.97.98.99.100.101.102.103.104.105.106.107.108,g.2,disjoint
g.84.85.86.87.88.89.90.91.92.93.94.95.96.97.98.99.100.101.102.103.104.105.106.107.108,g.7,disjoint
g.84.85.86.87.88.89.90.91.92.93.94.95.96.97.98.99.100.101.102.103.104.105.106.107.108,g.6,disjoint
g.84.85.86.87.88.89.90.91.92.93.94.95.96.97.98.99.100.101.102.103.104.105.106.107.108,g.4,disjoint
g.84.85.86.87.88.89.90.91.92.93.94.95.96.97.98.99.100.101.102.103.104.105.106.107.108,g.5,disjoint
g.84.85.86.87.88.89.90.91.92.93.94.95.96.97.98.99.100.101.102.103.104.105.106.107.108,g.33,disjoint
g.84.85.86.87.88.89.90.91.92.93.94.95.96.97.98.99.100.101.102.103.104.105.106.107.108,g.8,disjoint
