Sketch Map , BaseId , SketchId , GenId , Generalization Type
AS_Sketch_1.jpg,17,S0,g.17,No generalization
AS_Sketch_1.jpg,16,S1,g.16,No generalization
AS_Sketch_1.jpg,0,S2,g.0,No generalization
AS_Sketch_1.jpg,8,S3,g.8,No generalization
AS_Sketch_1.jpg,38,S4,g.38,No generalization
AS_Sketch_1.jpg,26 43 44,S5,g.26.43.44,OmissionMerge
AS_Sketch_1.jpg,34 35,S6,g.34.35,OmissionMerge
AS_Sketch_1.jpg,33,S7,g.33,No generalization
AS_Sketch_1.jpg,32,S8,g.32,No generalization
AS_Sketch_1.jpg,65,S9,g.65,No generalization
AS_Sketch_1.jpg,48,S11,g.48,No generalization
AS_Sketch_1.jpg,55,S12,g.55,No generalization
AS_Sketch_1.jpg,53,S13,g.53,No generalization
AS_Sketch_1.jpg,2,S14,g.2,No generalization
AS_Sketch_1.jpg,3 5,S15,g.3.5,OmissionMerge
AS_Sketch_1.jpg,25,S16,g.25,No generalization
AS_Sketch_1.jpg,70,S17,g.70,No generalization
AS_Sketch_1.jpg,73,S18,g.73,No generalization
AS_Sketch_1.jpg,Features missing in sketch map,"4,6,7,9,10,11,12,13,15,19,20,21,22,23,24,27,28,29,30,31,36,37,39,40,41,42,45,46,47,49,50,51,52,56,57,58,59,60,61,62,63,64,66,67,72,74,75,76,78"
AS_Sketch_1.jpg,Features drawn extra in sketch map, S10
   
AS_Sketch_2.jpg,73,S41,g.73,No generalization
AS_Sketch_2.jpg,64 61 62 63,S9,g.61.62.63.64,Amalgamation
AS_Sketch_2.jpg,66,S7,g.66,No generalization
AS_Sketch_2.jpg,65,S5,g.65,No generalization
AS_Sketch_2.jpg,59,S11,g.59,No generalization
AS_Sketch_2.jpg,34 35,S27,g.34.35,OmissionMerge
AS_Sketch_2.jpg,15,S35,g.15,No generalization
AS_Sketch_2.jpg,78,S29,g.78,No generalization
AS_Sketch_2.jpg,45 46 47,S31,g.45.46.47,OmissionMerge
AS_Sketch_2.jpg,8,S37,g.8,No generalization
AS_Sketch_2.jpg,11,S33,g.11,No generalization
AS_Sketch_2.jpg,33,S1,g.33,No generalization
AS_Sketch_2.jpg,16 26 43 44,S23,g.16.26.43.44,OmissionMerge
AS_Sketch_2.jpg,32,S25,g.32,No generalization
AS_Sketch_2.jpg,67,S15,g.67,No generalization
