Object 1 , Object 2, Relations
 ,RCC8, 
g.50.51.52,g.53,dc
g.50.51.52,g.55,dc
g.50.51.52,g.48,dc
g.50.51.52,g.67,dc
g.50.51.52,g.72,dc
g.50.51.52,g.73,dc
g.50.51.52,g.65,dc
g.53,g.55,dc
g.53,g.48,dc
g.53,g.67,dc
g.53,g.72,dc
g.53,g.73,dc
g.53,g.65,dc
g.55,g.48,dc
g.55,g.67,dc
g.55,g.72,dc
g.55,g.73,dc
g.55,g.65,dc
g.48,g.67,dc
g.48,g.72,dc
g.48,g.73,dc
g.48,g.65,dc
g.67,g.72,dc
g.67,g.73,dc
g.67,g.65,dc
g.72,g.73,dc
g.72,g.65,dc
g.73,g.65,dc
 ,DE9IM : line_polygon, 
g.50.51.52,g.3.5.7,disjoint
g.50.51.52,g.26.43,disjoint
g.50.51.52,g.40.41.42,disjoint
g.50.51.52,g.17,disjoint
g.50.51.52,g.16,disjoint
g.50.51.52,g.0,disjoint
g.50.51.52,g.2,disjoint
g.50.51.52,g.25,disjoint
g.50.51.52,g.4,disjoint
g.50.51.52,g.10,disjoint
g.50.51.52,g.8,disjoint
g.50.51.52,g.9,disjoint
g.50.51.52,g.11,disjoint
g.50.51.52,g.38,disjoint
g.50.51.52,g.47,disjoint
g.50.51.52,g.44,disjoint
g.50.51.52,g.45,disjoint
g.50.51.52,g.46,disjoint
g.3.5.7,g.53,disjoint
g.3.5.7,g.55,disjoint
g.3.5.7,g.48,disjoint
g.3.5.7,g.67,disjoint
g.3.5.7,g.72,disjoint
g.3.5.7,g.73,disjoint
g.3.5.7,g.65,disjoint
g.26.43,g.53,disjoint
g.26.43,g.55,disjoint
g.26.43,g.48,disjoint
g.26.43,g.67,disjoint
g.26.43,g.72,disjoint
g.26.43,g.73,disjoint
g.26.43,g.65,disjoint
g.40.41.42,g.53,disjoint
g.40.41.42,g.55,disjoint
g.40.41.42,g.48,disjoint
g.40.41.42,g.67,disjoint
g.40.41.42,g.72,disjoint
g.40.41.42,g.73,disjoint
g.40.41.42,g.65,disjoint
g.53,g.17,disjoint
g.53,g.16,disjoint
g.53,g.0,disjoint
g.53,g.2,disjoint
g.53,g.25,disjoint
g.53,g.4,disjoint
g.53,g.10,disjoint
g.53,g.8,disjoint
g.53,g.9,disjoint
g.53,g.11,disjoint
g.53,g.38,disjoint
g.53,g.47,disjoint
g.53,g.44,disjoint
g.53,g.45,disjoint
g.53,g.46,disjoint
g.55,g.17,disjoint
g.55,g.16,disjoint
g.55,g.0,disjoint
g.55,g.2,disjoint
g.55,g.25,disjoint
g.55,g.4,disjoint
g.55,g.10,disjoint
g.55,g.8,disjoint
g.55,g.9,disjoint
g.55,g.11,disjoint
g.55,g.38,disjoint
g.55,g.47,disjoint
g.55,g.44,disjoint
g.55,g.45,disjoint
g.55,g.46,disjoint
