Object 1 , Object 2, Relations
 ,RCC8, 
g.53,g.48,dc
g.53,g.55,dc
g.53,g.58,dc
g.53,g.73,dc
g.48,g.55,dc
g.48,g.58,dc
g.48,g.73,dc
g.55,g.58,dc
g.55,g.73,dc
g.58,g.73,dc
 ,DE9IM : line_polygon, 
g.27.29,g.53,disjoint
g.27.29,g.48,disjoint
g.27.29,g.55,disjoint
g.27.29,g.58,disjoint
g.27.29,g.73,disjoint
g.43.44,g.53,disjoint
g.43.44,g.48,disjoint
g.43.44,g.55,disjoint
g.43.44,g.58,disjoint
g.43.44,g.73,disjoint
g.30.32,g.53,disjoint
g.30.32,g.48,disjoint
g.30.32,g.55,disjoint
g.30.32,g.58,disjoint
g.30.32,g.73,disjoint
g.34.35,g.53,disjoint
g.34.35,g.48,disjoint
g.34.35,g.55,disjoint
g.34.35,g.58,disjoint
g.34.35,g.73,disjoint
g.40.41.42,g.53,disjoint
g.40.41.42,g.48,disjoint
g.40.41.42,g.55,disjoint
g.40.41.42,g.58,disjoint
g.40.41.42,g.73,disjoint
g.2,g.53,disjoint
g.2,g.48,disjoint
g.2,g.55,disjoint
g.2,g.58,disjoint
g.2,g.73,disjoint
g.0,g.53,disjoint
g.0,g.48,disjoint
g.0,g.55,disjoint
g.0,g.58,disjoint
g.0,g.73,disjoint
g.16,g.53,disjoint
g.16,g.48,disjoint
g.16,g.55,disjoint
g.16,g.58,disjoint
g.16,g.73,disjoint
g.17,g.53,disjoint
g.17,g.48,disjoint
g.17,g.55,disjoint
g.17,g.58,disjoint
g.17,g.73,disjoint
g.26,g.53,disjoint
g.26,g.48,disjoint
g.26,g.55,disjoint
g.26,g.58,disjoint
g.26,g.73,disjoint
g.33,g.53,disjoint
g.33,g.48,disjoint
g.33,g.55,disjoint
g.33,g.58,disjoint
g.33,g.73,disjoint
g.78,g.53,disjoint
g.78,g.48,disjoint
g.78,g.55,disjoint
g.78,g.58,disjoint
g.78,g.73,disjoint
g.45,g.53,disjoint
g.45,g.48,disjoint
g.45,g.55,disjoint
g.45,g.58,disjoint
g.45,g.73,disjoint
g.46,g.53,disjoint
g.46,g.48,disjoint
g.46,g.55,disjoint
g.46,g.58,disjoint
g.46,g.73,disjoint
g.38,g.53,disjoint
g.38,g.48,disjoint
g.38,g.55,disjoint
g.38,g.58,disjoint
g.38,g.73,disjoint
g.47,g.53,disjoint
g.47,g.48,disjoint
g.47,g.55,disjoint
g.47,g.58,disjoint
g.47,g.73,disjoint
g.8,g.53,disjoint
g.8,g.48,disjoint
g.8,g.55,disjoint
g.8,g.58,disjoint
g.8,g.73,disjoint
g.9,g.53,disjoint
g.9,g.48,disjoint
g.9,g.55,disjoint
g.9,g.58,disjoint
g.9,g.73,disjoint
 ,leftRight, 
g.43.44,g.53,nonAdjacent
g.43.44,g.48,nonAdjacent
g.43.44,g.55,nonAdjacent
g.43.44,g.58,nonAdjacent
g.43.44,g.73,nonAdjacent
g.34.35,g.53,nonAdjacent
g.34.35,g.48,nonAdjacent
g.34.35,g.55,nonAdjacent
g.34.35,g.58,nonAdjacent
g.34.35,g.73,nonAdjacent
g.0,g.53,left
g.0,g.48,right
g.0,g.55,right
g.0,g.58,nonAdjacent
g.0,g.73,nonAdjacent
g.16,g.53,right
g.16,g.48,right
g.16,g.55,left
g.16,g.58,nonAdjacent
g.16,g.73,nonAdjacent
g.26,g.53,nonAdjacent
g.26,g.48,right
g.26,g.55,left
g.26,g.58,nonAdjacent
g.26,g.73,nonAdjacent
 ,opra, 
g.27.29,g.43.44,nonAdjacent
g.27.29,g.30.32,nonAdjacent
g.27.29,g.34.35,nonAdjacent
g.27.29,g.40.41.42,back_of
g.27.29,g.2,nonAdjacent
g.27.29,g.0,nonAdjacent
g.27.29,g.16,nonAdjacent
g.27.29,g.17,nonAdjacent
g.27.29,g.26,nonAdjacent
g.27.29,g.33,nonAdjacent
g.27.29,g.78,nonAdjacent
g.27.29,g.45,nonAdjacent
g.27.29,g.46,nonAdjacent
g.27.29,g.38,nonAdjacent
g.27.29,g.47,nonAdjacent
