Object 1, Object 2, Relations
 ,RCC8, 
g.73,g.53,dc
g.73,g.74,dc
g.73,g.76,dc
g.73,g.49,dc
g.73,g.48,dc
g.73,g.67,dc
g.73,g.55,dc
g.73,g.57,dc
g.73,g.58,dc
g.73,g.59.60,dc
g.73,g.61,dc
g.73,g.64,dc
g.73,g.63,dc
g.73,g.66,dc
g.73,g.65,dc
g.53,g.74,dc
g.53,g.76,dc
g.53,g.49,dc
g.53,g.48,dc
g.53,g.67,dc
g.53,g.55,dc
g.53,g.57,dc
g.53,g.58,dc
g.53,g.59.60,dc
g.53,g.61,dc
g.53,g.64,dc
g.53,g.63,dc
g.53,g.66,dc
g.53,g.65,dc
g.74,g.76,dc
g.74,g.49,dc
g.74,g.48,dc
g.74,g.67,dc
g.74,g.55,dc
g.74,g.57,dc
g.74,g.58,dc
g.74,g.59.60,dc
g.74,g.61,dc
g.74,g.64,dc
g.74,g.63,dc
g.74,g.66,dc
g.74,g.65,dc
g.76,g.49,dc
g.76,g.48,dc
g.76,g.67,dc
g.76,g.55,dc
g.76,g.57,dc
g.76,g.58,dc
g.76,g.59.60,dc
g.76,g.61,dc
g.76,g.64,dc
g.76,g.63,dc
g.76,g.66,dc
g.76,g.65,dc
g.49,g.48,dc
g.49,g.67,dc
g.49,g.55,dc
g.49,g.57,dc
g.49,g.58,dc
g.49,g.59.60,dc
g.49,g.61,dc
g.49,g.64,dc
g.49,g.63,dc
g.49,g.66,dc
g.49,g.65,dc
g.48,g.67,dc
g.48,g.55,dc
g.48,g.57,dc
g.48,g.58,dc
g.48,g.59.60,dc
g.48,g.61,dc
g.48,g.64,dc
g.48,g.63,dc
g.48,g.66,dc
g.48,g.65,dc
g.67,g.55,dc
g.67,g.57,dc
g.67,g.58,dc
g.67,g.59.60,dc
g.67,g.61,dc
g.67,g.64,dc
g.67,g.63,dc
g.67,g.66,dc
g.67,g.65,dc
g.55,g.57,dc
g.55,g.58,dc
g.55,g.59.60,dc
g.55,g.61,dc
g.55,g.64,dc
g.55,g.63,dc
g.55,g.66,dc
g.55,g.65,dc
g.57,g.58,dc
g.57,g.59.60,dc
g.57,g.61,dc
g.57,g.64,dc
g.57,g.63,dc
g.57,g.66,dc
g.57,g.65,dc
g.58,g.59.60,dc
g.58,g.61,dc
g.58,g.64,dc
g.58,g.63,dc
g.58,g.66,dc
g.58,g.65,dc
g.59.60,g.61,dc
g.59.60,g.64,dc
g.59.60,g.63,dc
g.59.60,g.66,dc
g.59.60,g.65,dc
g.61,g.64,dc
g.61,g.63,dc
g.61,g.66,dc
g.61,g.65,dc
g.64,g.63,dc
g.64,g.66,dc
g.64,g.65,dc
g.63,g.66,dc
g.63,g.65,dc
g.66,g.65,dc
 ,DE9IM : line_polygon, 
g.19.21.25,g.73,disjoint
g.19.21.25,g.53,disjoint
g.19.21.25,g.74,disjoint
g.19.21.25,g.76,disjoint
g.19.21.25,g.49,disjoint
g.19.21.25,g.48,disjoint
g.19.21.25,g.67,disjoint
g.19.21.25,g.55,disjoint
g.19.21.25,g.57,disjoint
g.19.21.25,g.58,disjoint
g.19.21.25,g.59.60,disjoint
g.19.21.25,g.61,disjoint
g.19.21.25,g.64,disjoint
g.19.21.25,g.63,disjoint
g.19.21.25,g.66,disjoint
g.19.21.25,g.65,disjoint
g.3.5,g.73,disjoint
g.3.5,g.53,disjoint
g.3.5,g.74,disjoint
g.3.5,g.76,disjoint
g.3.5,g.49,disjoint
g.3.5,g.48,disjoint
g.3.5,g.67,disjoint
g.3.5,g.55,disjoint
g.3.5,g.57,disjoint
g.3.5,g.58,disjoint
g.3.5,g.59.60,disjoint
g.3.5,g.61,disjoint
g.3.5,g.64,disjoint
g.3.5,g.63,disjoint
g.3.5,g.66,disjoint
g.3.5,g.65,disjoint
g.7,g.73,disjoint
g.7,g.53,disjoint
g.7,g.74,disjoint
g.7,g.76,disjoint
g.7,g.49,disjoint
g.7,g.48,disjoint
g.7,g.67,disjoint
g.7,g.55,disjoint
g.7,g.57,disjoint
g.7,g.58,disjoint
g.7,g.59.60,disjoint
g.7,g.61,disjoint
g.7,g.64,disjoint
g.7,g.63,disjoint
g.7,g.66,disjoint
g.7,g.65,disjoint
g.6,g.73,disjoint
g.6,g.53,disjoint
g.6,g.74,disjoint
g.6,g.76,disjoint
g.6,g.49,disjoint
g.6,g.48,disjoint
g.6,g.67,disjoint
g.6,g.55,disjoint
g.6,g.57,disjoint
g.6,g.58,disjoint
g.6,g.59.60,disjoint
g.6,g.61,disjoint
g.6,g.64,disjoint
g.6,g.63,disjoint
g.6,g.66,disjoint
g.6,g.65,disjoint
g.9,g.73,disjoint
g.9,g.53,disjoint
g.9,g.74,disjoint
g.9,g.76,disjoint
g.9,g.49,disjoint
g.9,g.48,disjoint
g.9,g.67,disjoint
g.9,g.55,disjoint
g.9,g.57,disjoint
g.9,g.58,disjoint
g.9,g.59.60,disjoint
g.9,g.61,disjoint
g.9,g.64,disjoint
g.9,g.63,disjoint
g.9,g.66,disjoint
g.9,g.65,disjoint
g.11,g.73,disjoint
g.11,g.53,disjoint
g.11,g.74,disjoint
g.11,g.76,disjoint
g.11,g.49,disjoint
g.11,g.48,disjoint
g.11,g.67,disjoint
g.11,g.55,disjoint
g.11,g.57,disjoint
g.11,g.58,disjoint
g.11,g.59.60,disjoint
g.11,g.61,disjoint
g.11,g.64,disjoint
g.11,g.63,disjoint
g.11,g.66,disjoint
g.11,g.65,disjoint
g.47,g.73,disjoint
g.47,g.53,disjoint
g.47,g.74,disjoint
g.47,g.76,disjoint
g.47,g.49,disjoint
g.47,g.48,disjoint
g.47,g.67,disjoint
g.47,g.55,disjoint
g.47,g.57,disjoint
g.47,g.58,disjoint
g.47,g.59.60,disjoint
g.47,g.61,disjoint
g.47,g.64,disjoint
g.47,g.63,disjoint
g.47,g.66,disjoint
g.47,g.65,disjoint
g.46,g.73,disjoint
g.46,g.53,disjoint
g.46,g.74,disjoint
g.46,g.76,disjoint
g.46,g.49,disjoint
g.46,g.48,disjoint
g.46,g.67,disjoint
g.46,g.55,disjoint
g.46,g.57,disjoint
g.46,g.58,disjoint
g.46,g.59.60,disjoint
g.46,g.61,disjoint
g.46,g.64,disjoint
g.46,g.63,disjoint
g.46,g.66,disjoint
g.46,g.65,disjoint
g.34.35.45,g.73,disjoint
g.34.35.45,g.53,disjoint
g.34.35.45,g.74,disjoint
g.34.35.45,g.76,disjoint
g.34.35.45,g.49,disjoint
g.34.35.45,g.48,disjoint
g.34.35.45,g.67,disjoint
g.34.35.45,g.55,disjoint
g.34.35.45,g.57,disjoint
g.34.35.45,g.58,disjoint
g.34.35.45,g.59.60,disjoint
g.34.35.45,g.61,disjoint
g.34.35.45,g.64,disjoint
g.34.35.45,g.63,disjoint
g.34.35.45,g.66,disjoint
g.34.35.45,g.65,disjoint
g.8,g.73,disjoint
g.8,g.53,disjoint
g.8,g.74,disjoint
g.8,g.76,disjoint
g.8,g.49,disjoint
g.8,g.48,disjoint
g.8,g.67,disjoint
g.8,g.55,disjoint
g.8,g.57,disjoint
g.8,g.58,disjoint
g.8,g.59.60,disjoint
g.8,g.61,disjoint
g.8,g.64,disjoint
g.8,g.63,disjoint
g.8,g.66,disjoint
g.8,g.65,disjoint
g.2,g.73,disjoint
g.2,g.53,disjoint
g.2,g.74,disjoint
g.2,g.76,disjoint
g.2,g.49,disjoint
g.2,g.48,disjoint
g.2,g.67,disjoint
g.2,g.55,disjoint
g.2,g.57,disjoint
g.2,g.58,disjoint
g.2,g.59.60,disjoint
g.2,g.61,disjoint
g.2,g.64,disjoint
g.2,g.63,disjoint
g.2,g.66,disjoint
g.2,g.65,disjoint
g.16,g.73,disjoint
g.16,g.53,disjoint
g.16,g.74,disjoint
g.16,g.76,disjoint
g.16,g.49,disjoint
g.16,g.48,disjoint
g.16,g.67,disjoint
g.16,g.55,disjoint
g.16,g.57,disjoint
g.16,g.58,disjoint
g.16,g.59.60,disjoint
g.16,g.61,disjoint
g.16,g.64,disjoint
g.16,g.63,disjoint
g.16,g.66,disjoint
g.16,g.65,disjoint
g.38,g.73,disjoint
g.38,g.53,disjoint
g.38,g.74,disjoint
g.38,g.76,disjoint
g.38,g.49,disjoint
g.38,g.48,disjoint
g.38,g.67,disjoint
g.38,g.55,disjoint
g.38,g.57,disjoint
g.38,g.58,disjoint
g.38,g.59.60,disjoint
g.38,g.61,disjoint
g.38,g.64,disjoint
g.38,g.63,disjoint
g.38,g.66,disjoint
g.38,g.65,disjoint
g.40.41,g.73,disjoint
g.40.41,g.53,disjoint
g.40.41,g.74,disjoint
g.40.41,g.76,disjoint
g.40.41,g.49,disjoint
g.40.41,g.48,disjoint
g.40.41,g.67,disjoint
g.40.41,g.55,disjoint
g.40.41,g.57,disjoint
g.40.41,g.58,disjoint
g.40.41,g.59.60,disjoint
g.40.41,g.61,disjoint
g.40.41,g.64,disjoint
g.40.41,g.63,disjoint
g.40.41,g.66,disjoint
g.40.41,g.65,disjoint
g.42,g.73,disjoint
g.42,g.53,disjoint
g.42,g.74,disjoint
g.42,g.76,disjoint
g.42,g.49,disjoint
g.42,g.48,disjoint
g.42,g.67,disjoint
g.42,g.55,disjoint
g.42,g.57,disjoint
g.42,g.58,disjoint
g.42,g.59.60,disjoint
g.42,g.61,disjoint
g.42,g.64,disjoint
g.42,g.63,disjoint
g.42,g.66,disjoint
g.42,g.65,disjoint
g.39,g.73,disjoint
g.39,g.53,disjoint
g.39,g.74,disjoint
g.39,g.76,disjoint
g.39,g.49,disjoint
g.39,g.48,disjoint
g.39,g.67,disjoint
g.39,g.55,disjoint
g.39,g.57,disjoint
g.39,g.58,disjoint
g.39,g.59.60,disjoint
g.39,g.61,disjoint
g.39,g.64,disjoint
g.39,g.63,disjoint
g.39,g.66,disjoint
g.39,g.65,disjoint
g.26,g.73,disjoint
g.26,g.53,disjoint
g.26,g.74,disjoint
g.26,g.76,disjoint
g.26,g.49,disjoint
g.26,g.48,disjoint
g.26,g.67,disjoint
g.26,g.55,disjoint
g.26,g.57,disjoint
g.26,g.58,disjoint
g.26,g.59.60,disjoint
g.26,g.61,disjoint
g.26,g.64,disjoint
g.26,g.63,disjoint
g.26,g.66,disjoint
g.26,g.65,disjoint
g.43,g.73,disjoint
g.43,g.53,disjoint
g.43,g.74,disjoint
g.43,g.76,disjoint
g.43,g.49,disjoint
g.43,g.48,disjoint
g.43,g.67,disjoint
g.43,g.55,disjoint
g.43,g.57,disjoint
g.43,g.58,disjoint
g.43,g.59.60,disjoint
g.43,g.61,disjoint
g.43,g.64,disjoint
g.43,g.63,disjoint
g.43,g.66,disjoint
g.43,g.65,disjoint
g.44,g.73,disjoint
g.44,g.53,disjoint
g.44,g.74,disjoint
g.44,g.76,disjoint
g.44,g.49,disjoint
g.44,g.48,disjoint
g.44,g.67,disjoint
g.44,g.55,disjoint
g.44,g.57,disjoint
g.44,g.58,disjoint
g.44,g.59.60,disjoint
g.44,g.61,disjoint
g.44,g.64,disjoint
g.44,g.63,disjoint
g.44,g.66,disjoint
g.44,g.65,disjoint
g.33,g.73,disjoint
g.33,g.53,disjoint
g.33,g.74,disjoint
g.33,g.76,disjoint
g.33,g.49,disjoint
g.33,g.48,disjoint
g.33,g.67,disjoint
g.33,g.55,disjoint
g.33,g.57,disjoint
g.33,g.58,disjoint
g.33,g.59.60,disjoint
g.33,g.61,disjoint
g.33,g.64,disjoint
g.33,g.63,disjoint
g.33,g.66,disjoint
g.33,g.65,disjoint
g.30.32,g.73,disjoint
g.30.32,g.53,disjoint
g.30.32,g.74,disjoint
g.30.32,g.76,disjoint
g.30.32,g.49,disjoint
g.30.32,g.48,disjoint
g.30.32,g.67,disjoint
g.30.32,g.55,disjoint
g.30.32,g.57,disjoint
g.30.32,g.58,disjoint
g.30.32,g.59.60,disjoint
g.30.32,g.61,disjoint
g.30.32,g.64,disjoint
g.30.32,g.63,disjoint
g.30.32,g.66,disjoint
g.30.32,g.65,disjoint
g.17,g.73,disjoint
g.17,g.53,disjoint
g.17,g.74,disjoint
g.17,g.76,disjoint
g.17,g.49,disjoint
g.17,g.48,disjoint
g.17,g.67,disjoint
g.17,g.55,disjoint
g.17,g.57,disjoint
g.17,g.58,disjoint
