Object 1 , Object 2, Relations
 ,RCC8, 
g.60.62.64,g.84.86,dc
g.60.62.64,g.58,dc
g.60.62.64,g.116,dc
g.60.62.64,g.114,dc
g.60.62.64,g.98,dc
g.60.62.64,g.106,dc
g.60.62.64,g.108,dc
g.60.62.64,g.118,dc
g.84.86,g.58,dc
g.84.86,g.116,dc
g.84.86,g.114,dc
g.84.86,g.98,dc
g.84.86,g.106,dc
g.84.86,g.108,dc
g.84.86,g.118,dc
g.58,g.116,dc
g.58,g.114,dc
g.58,g.98,dc
g.58,g.106,dc
g.58,g.108,dc
g.58,g.118,dc
g.116,g.114,dc
g.116,g.98,dc
g.116,g.106,dc
g.116,g.108,dc
g.116,g.118,dc
g.114,g.98,dc
g.114,g.106,dc
g.114,g.108,dc
g.114,g.118,dc
g.98,g.106,dc
g.98,g.108,dc
g.98,g.118,dc
g.106,g.108,dc
g.106,g.118,dc
g.108,g.118,dc
 ,DE9IM : line_polygon, 
g.60.62.64,g.2.10,disjoint
g.60.62.64,g.50.51,disjoint
g.60.62.64,g.24.26.27,disjoint
g.60.62.64,g.28.30.34,disjoint
g.60.62.64,g.35.41.42,disjoint
g.60.62.64,g.15.17,disjoint
g.60.62.64,g.123.126,disjoint
g.60.62.64,g.13.14.31.32,disjoint
g.60.62.64,g.132.135,disjoint
g.60.62.64,g.38.39.49,disjoint
g.60.62.64,g.1,disjoint
g.60.62.64,g.0,disjoint
g.60.62.64,g.11,disjoint
g.60.62.64,g.52,disjoint
g.60.62.64,g.53,disjoint
g.60.62.64,g.54,disjoint
g.60.62.64,g.56,disjoint
g.60.62.64,g.55,disjoint
g.60.62.64,g.23,disjoint
g.60.62.64,g.22,disjoint
g.60.62.64,g.21,disjoint
g.60.62.64,g.20,disjoint
g.60.62.64,g.19,disjoint
g.60.62.64,g.18,disjoint
g.60.62.64,g.7,disjoint
g.60.62.64,g.8,disjoint
g.60.62.64,g.12,disjoint
g.84.86,g.2.10,disjoint
g.84.86,g.50.51,disjoint
g.84.86,g.24.26.27,disjoint
