Object 1 , Object 2, Relations
 ,RCC8, 
g.73.75.77.79.81.83.85.87.89.91.93.95.96.101.102.103.104.105.106,g.107.108,dc
g.73.75.77.79.81.83.85.87.89.91.93.95.96.101.102.103.104.105.106,g.71,dc
g.107.108,g.71,dc
 ,DE9IM : line_polygon, 
g.73.75.77.79.81.83.85.87.89.91.93.95.96.101.102.103.104.105.106,g.6.19,disjoint
g.73.75.77.79.81.83.85.87.89.91.93.95.96.101.102.103.104.105.106,g.4.31,disjoint
g.73.75.77.79.81.83.85.87.89.91.93.95.96.101.102.103.104.105.106,g.33.39.41.43.45,disjoint
g.73.75.77.79.81.83.85.87.89.91.93.95.96.101.102.103.104.105.106,g.63.64.66,disjoint
g.73.75.77.79.81.83.85.87.89.91.93.95.96.101.102.103.104.105.106,g.26.36.37.67,disjoint
g.73.75.77.79.81.83.85.87.89.91.93.95.96.101.102.103.104.105.106,g.0,disjoint
g.73.75.77.79.81.83.85.87.89.91.93.95.96.101.102.103.104.105.106,g.21,disjoint
g.73.75.77.79.81.83.85.87.89.91.93.95.96.101.102.103.104.105.106,g.32,disjoint
g.73.75.77.79.81.83.85.87.89.91.93.95.96.101.102.103.104.105.106,g.46,disjoint
g.73.75.77.79.81.83.85.87.89.91.93.95.96.101.102.103.104.105.106,g.68,disjoint
g.107.108,g.6.19,disjoint
g.107.108,g.4.31,disjoint
g.107.108,g.33.39.41.43.45,disjoint
g.107.108,g.63.64.66,disjoint
g.107.108,g.26.36.37.67,disjoint
g.107.108,g.0,disjoint
g.107.108,g.21,disjoint
g.107.108,g.32,disjoint
g.107.108,g.46,disjoint
g.107.108,g.68,disjoint
g.6.19,g.71,disjoint
g.4.31,g.71,disjoint
g.33.39.41.43.45,g.71,disjoint
g.63.64.66,g.71,disjoint
g.26.36.37.67,g.71,disjoint
g.0,g.71,disjoint
g.21,g.71,disjoint
g.32,g.71,disjoint
g.46,g.71,disjoint
g.68,g.71,disjoint
 ,leftRight, 
g.4.31,g.73.75.77.79.81.83.85.87.89.91.93.95.96.101.102.103.104.105.106,right
g.4.31,g.107.108,nonAdjacent
g.4.31,g.71,nonAdjacent
g.33.39.41.43.45,g.73.75.77.79.81.83.85.87.89.91.93.95.96.101.102.103.104.105.106,right
g.33.39.41.43.45,g.107.108,right
g.33.39.41.43.45,g.71,nonAdjacent
g.63.64.66,g.73.75.77.79.81.83.85.87.89.91.93.95.96.101.102.103.104.105.106,nonAdjacent
g.63.64.66,g.107.108,nonAdjacent
g.63.64.66,g.71,nonAdjacent
