Object 1, Object 2, Relations
 ,RCC8, 
g.95,g.79,dc
g.95,g.77,dc
g.95,g.101,dc
g.95,g.85,dc
g.95,g.87,dc
g.95,g.89,dc
g.95,g.93,dc
g.95,g.83,dc
g.95,g.81,dc
g.95,g.105,dc
g.95,g.104,dc
g.95,g.102.103,dc
g.95,g.71,dc
g.95,g.107,dc
g.95,g.108,dc
g.79,g.77,dc
g.79,g.101,dc
g.79,g.85,dc
g.79,g.87,dc
g.79,g.89,dc
g.79,g.93,dc
g.79,g.83,dc
g.79,g.81,dc
g.79,g.105,dc
g.79,g.104,dc
g.79,g.102.103,dc
g.79,g.71,dc
g.79,g.107,dc
g.79,g.108,dc
g.77,g.101,dc
g.77,g.85,dc
g.77,g.87,dc
g.77,g.89,dc
g.77,g.93,dc
g.77,g.83,dc
g.77,g.81,dc
g.77,g.105,dc
g.77,g.104,dc
g.77,g.102.103,dc
g.77,g.71,dc
g.77,g.107,dc
g.77,g.108,dc
g.101,g.85,dc
g.101,g.87,dc
g.101,g.89,dc
g.101,g.93,dc
g.101,g.83,dc
g.101,g.81,dc
g.101,g.105,dc
g.101,g.104,dc
g.101,g.102.103,dc
g.101,g.71,dc
g.101,g.107,dc
g.101,g.108,dc
g.85,g.87,null
g.85,g.89,dc
g.85,g.93,dc
g.85,g.83,dc
g.85,g.81,dc
g.85,g.105,dc
g.85,g.104,dc
g.85,g.102.103,dc
g.85,g.71,dc
g.85,g.107,dc
g.85,g.108,dc
g.87,g.89,dc
g.87,g.93,dc
g.87,g.83,dc
g.87,g.81,dc
g.87,g.105,dc
g.87,g.104,dc
g.87,g.102.103,dc
g.87,g.71,dc
g.87,g.107,dc
g.87,g.108,dc
g.89,g.93,dc
g.89,g.83,dc
g.89,g.81,dc
g.89,g.105,dc
g.89,g.104,dc
g.89,g.102.103,dc
g.89,g.71,dc
g.89,g.107,dc
g.89,g.108,dc
g.93,g.83,dc
g.93,g.81,dc
g.93,g.105,dc
g.93,g.104,dc
g.93,g.102.103,dc
g.93,g.71,dc
g.93,g.107,dc
g.93,g.108,dc
g.83,g.81,null
g.83,g.105,dc
g.83,g.104,dc
g.83,g.102.103,dc
g.83,g.71,dc
g.83,g.107,dc
g.83,g.108,dc
g.81,g.105,dc
g.81,g.104,dc
g.81,g.102.103,dc
g.81,g.71,dc
g.81,g.107,dc
g.81,g.108,dc
g.105,g.104,po
g.105,g.102.103,dc
g.105,g.71,dc
g.105,g.107,dc
