landmarkName,rectangleVertexNum,X,Y
25,0,-354,297
25,1,-277,297
25,2,-200,297
25,3,-200,236
25,4,-200,174
25,5,-277,174
25,6,-354,174
25,7,-354,236
24,8,-239,242
24,9,-160,242
24,10,-80,242
24,11,-80,113
24,12,-80,-16
24,13,-160,-16
24,14,-239,-16
24,15,-239,113
33,16,-69,232
33,17,-53,232
33,18,-36,232
33,19,-36,219
33,20,-36,205
33,21,-53,205
33,22,-69,205
33,23,-69,219
32,24,-36,227
32,25,-25,227
32,26,-13,227
32,27,-13,214
32,28,-13,201
32,29,-25,201
32,30,-36,201
32,31,-36,214
31,32,-13,222
31,33,4,222
31,34,21,222
31,35,21,178
31,36,21,134
31,37,4,134
31,38,-13,134
31,39,-13,178
28,40,49,67
28,41,131,67
28,42,214,67
28,43,214,-45
28,44,214,-157
28,45,131,-157
28,46,49,-157
28,47,49,-45
30,48,146,13
30,49,177,13
30,50,209,13
30,51,209,-16
30,52,209,-45
30,53,177,-45
30,54,146,-45
30,55,146,-16
29,56,46,-110
29,57,118,-110
29,58,191,-110
29,59,191,-174
29,60,191,-239
29,61,118,-239
29,62,46,-239
29,63,46,-174
27,64,-56,-141
27,65,-12,-141
27,66,33,-141
27,67,33,-181
27,68,33,-222
27,69,-12,-222
27,70,-56,-222
27,71,-56,-181
26,72,-354,25
26,73,-291,25
26,74,-227,25
26,75,-227,-57
26,76,-227,-139
26,77,-291,-139
26,78,-354,-139
26,79,-354,-57
