landmarkName,rectangleVertexNum,X,Y
None, None, None, None
None, None, None, None
None, None, None, None
None, None, None, None
None, None, None, None
None, None, None, None
None, None, None, None
None, None, None, None
24,0,-109,-154
24,1,-109,-111
24,2,-109,-68
24,3,18,-68
24,4,146,-68
24,5,146,-111
24,6,146,-154
24,7,18,-154
None, None, None, None
None, None, None, None
None, None, None, None
None, None, None, None
None, None, None, None
None, None, None, None
None, None, None, None
None, None, None, None
None, None, None, None
None, None, None, None
None, None, None, None
None, None, None, None
None, None, None, None
None, None, None, None
None, None, None, None
None, None, None, None
31,8,-139,10
31,9,-139,56
31,10,-139,101
31,11,-97,101
31,12,-54,101
31,13,-54,56
31,14,-54,10
31,15,-97,10
None, None, None, None
None, None, None, None
None, None, None, None
None, None, None, None
None, None, None, None
None, None, None, None
None, None, None, None
None, None, None, None
None, None, None, None
None, None, None, None
None, None, None, None
None, None, None, None
None, None, None, None
None, None, None, None
None, None, None, None
None, None, None, None
None, None, None, None
None, None, None, None
None, None, None, None
None, None, None, None
None, None, None, None
None, None, None, None
None, None, None, None
None, None, None, None
None, None, None, None
None, None, None, None
None, None, None, None
None, None, None, None
None, None, None, None
None, None, None, None
None, None, None, None
None, None, None, None
None, None, None, None
None, None, None, None
None, None, None, None
None, None, None, None
None, None, None, None
None, None, None, None
None, None, None, None
None, None, None, None
