landmarkName,rectangleVertexNum,X,Y
25,0,-323,150
25,1,-297,150
25,2,-271,150
25,3,-271,104
25,4,-271,58
25,5,-297,58
25,6,-323,58
25,7,-323,104
24,8,-247,86
24,9,-205,86
24,10,-162,86
24,11,-162,-10
24,12,-162,-106
24,13,-205,-106
24,14,-247,-106
24,15,-247,-10
33,16,-121,69
33,17,-103,69
33,18,-84,69
33,19,-84,52
33,20,-84,35
33,21,-103,35
33,22,-121,35
33,23,-121,52
32,24,-84,62
32,25,-72,62
32,26,-60,62
32,27,-60,50
32,28,-60,37
32,29,-72,37
32,30,-84,37
32,31,-84,50
31,32,-63,59
31,33,-53,59
31,34,-42,59
31,35,-42,37
31,36,-42,15
31,37,-53,15
31,38,-63,15
31,39,-63,37
28,40,46,-124
28,41,89,-124
28,42,133,-124
28,43,133,-151
28,44,133,-178
28,45,89,-178
28,46,46,-178
28,47,46,-151
30,48,108,-146
30,49,121,-146
30,50,134,-146
30,51,134,-157
30,52,134,-169
30,53,121,-169
30,54,108,-169
30,55,108,-157
29,56,44,-172
29,57,88,-172
29,58,132,-172
29,59,132,-184
29,60,132,-197
29,61,88,-197
29,62,44,-197
29,63,44,-184
27,64,-11,-172
27,65,9,-172
27,66,29,-172
27,67,29,-187
27,68,29,-202
27,69,9,-202
27,70,-11,-202
27,71,-11,-187
26,72,-347,-127
26,73,-287,-127
26,74,-227,-127
26,75,-227,-168
26,76,-227,-209
26,77,-287,-209
26,78,-347,-209
26,79,-347,-168
