### Folder: Loc0,,,,,,,,
CanScore,CanOrg,CanAcc,ScaBias,DistAcc,RotBias,AngAcc,ID,
5429,0.94,0.94,0.04,0.93,-3,0.94,sketchMap1.JPG,
5372,0.93,0.93,0.05,0.93,-3.06,0.94,sketchMap2.JPG,
2467,0.43,0.92,0.07,0.88,-2.54,0.92,sketchMap3.JPG,
1419,0.25,0.53,0.06,0.84,-79.09,0.55,sketchMap4.JPG,
55,0.01,0.43,-0.03,0.66,-101.94,0.43,sketchMap5.JPG,
2505,0.43,0.93,-0.02,0.92,-3.96,0.91,sketchMap6.jpg,
3254,0.56,0.91,0.04,0.93,3.52,0.92,sketchMap7.jpg,
2134,0.37,0.79,0.01,0.9,-36.83,0.78,sketchMap8.JPG,
413,0.07,0.54,0.06,0.84,-71.11,0.57,sketchMap9.jpg,
2560.888889,0.443333333,0.768888889,0.031111111,0.87,-33.11222222,0.773333333,,
,,,,,,,,
### Folder: Loc1,,,,,,,,
CanScore,CanOrg,CanAcc,ScaBias,DistAcc,RotBias,AngAcc,ID,
36247,0.57,0.57,0.01,0.93,-22.57,0.69,AS_Sketch_1.jpg,
39954,0.63,0.63,0,0.92,-23.5,0.68,AS_Sketch_10.jpg,
32939,0.52,0.52,0,0.94,-21.78,0.7,AS_Sketch_2.jpg,
32580,0.51,0.59,0,0.93,-19.37,0.67,AS_Sketch_3.jpg,
25767,0.41,0.41,0.01,0.88,-15.14,0.73,AS_Sketch_4.jpg,
390,0.01,0.01,0,1,-13.17,1,AS_Sketch_5.jpg,
25892,0.41,0.5,0.01,0.94,-26.2,0.65,AS_Sketch_6.jpg,
40362,0.64,0.64,0,0.93,-19.87,0.69,AS_Sketch_7.jpg,
39777,0.63,0.63,0,0.94,-25.58,0.68,AS_Sketch_8.jpg,
29053,0.46,0.46,0.02,0.93,-27.55,0.7,AS_Sketch_9.jpg,
36284,0.57,0.57,0.01,0.93,-23.23,0.69,CM_Sketch_1.jpg,
39981,0.63,0.63,0,0.91,-23.21,0.68,CM_Sketch_10.jpg,
1614,0.03,0.03,0,1,-36.28,0.99,CM_Sketch_2.jpg,
39777,0.63,0.63,0,0.93,-19.17,0.69,CM_Sketch_3.jpg,
25542,0.4,0.4,0.01,0.88,-15.57,0.73,CM_Sketch_4.jpg,
25424,0.4,0.4,0,0.88,-17.56,0.72,CM_Sketch_5.jpg,
980,0.02,0.02,0,1,-44.3,0.99,CM_Sketch_6.jpg,
32949,0.52,0.52,0.01,0.93,-16.8,0.71,CM_Sketch_7.jpg,
25451,0.4,0.4,0.01,0.88,-17.91,0.72,CM_Sketch_8.jpg,
2996,0.05,0.05,0,1,-22.71,0.99,CM_Sketch_9.jpg,
36628,0.58,0.58,0.02,0.93,-20.83,0.7,JK_Sketch_1.jpg,
39993,0.63,0.63,0,0.91,-23.26,0.68,JK_Sketch_10.jpg,
1614,0.03,0.03,0,1,-36.16,0.99,JK_Sketch_2.jpg,
39993,0.63,0.63,0,0.93,-18.92,0.69,JK_Sketch_3.jpg,
1047,0.02,0.02,0,1,-37.66,1,JK_Sketch_4.jpg,
39777,0.63,0.63,-0.01,0.94,-23.59,0.68,JK_Sketch_5.jpg,
29053,0.46,0.56,0.02,0.93,-26.3,0.64,JK_Sketch_6.jpg,
40368,0.64,0.64,0,0.92,-19.95,0.69,JK_Sketch_7.jpg,
39720,0.63,0.63,0,0.93,-26.99,0.67,JK_Sketch_8.jpg,
25667,0.4,0.4,0.01,0.88,-13.78,0.73,JK_Sketch_9.jpg,
27593.96667,0.436333333,0.445333333,0.004333333,0.935,-23.297,0.752333333,,
,,,,,,,,
### Folder: Loc2,,,,,,,,
CanScore,CanOrg,CanAcc,ScaBias,DistAcc,RotBias,AngAcc,ID,
4720,0.41,0.82,-0.01,0.95,1.19,0.86,AS_Sketch_1.jpg,
1014,0.09,0.22,0,0.99,14.23,0.95,AS_Sketch_10.jpg,
0,0,0,0,1,0,1,AS_Sketch_2.jpg,
360,0.03,0.19,0.02,0.89,-7.79,0.88,AS_Sketch_3.jpg,
2978,0.26,0.35,-0.01,0.97,13.44,0.93,AS_Sketch_4.jpg,
0,0,0,0,1,0,1,AS_Sketch_5.jpg,
