Base Map,Sketch Maps,Generalization,Completeness_Streets(%),Completeness_Buildings(%),QualitativeAccuracy_Recall,QualitativeAccuracy_Precision,Generalization_OmissionMerge,Generalization_OmissionMerge(many-many),Generalization_Street_AbstractionToShowExistence,Generalization_JuctionMerge,Generalization_RoundaboutCollapse,Generalization_Amalgamation,Generalization_Collapse,Generalization_Building_AbstractionToShowExistence,QualitativeAccuracy_BuildingTopology(RCC8),QualitativeAccuracy_StreetBuildingTopology(DE9IM),QualitativeAccuracy_StreetsOrientation(OPRA),QualitativeAccuracy_StreetsConnectedness,QualitativeAccuracy_BuildingRoute_LeftRight,QualitativeAccuracy_BuildingRoute_LinearOrdering,GMDA_CanOrg_Buildings,GMDA_CanAcc_Buildings,GMDA_ScBias_Buildings,GMDA_DistAcc_Buildings,GMDA_RotBias_Buildings,GMDA_AngAcc_Buildings,GMDA_CanOrg_Junctions,GMDA_CanAcc_Junctions,GMDA_ScBias_Junctions,GMDA_DistAcc_Junctions,GMDA_RotBias_Junctions,GMDA_AngAcc_Junctions
location1.png,AS_Sketch_1.jpg,6,29.27,29.41,0.85,0.91,4,0,0,0,0,2,0,0,100,0,47.62,100,93.75,89.29,0.07,0.89,0.00,0.94,-30.23,0.81,0.01,0.75,0.02,0.86,-36.99,0.79
location1.png,AS_Sketch_2.jpg,10,68.89,30.56,0.91,0.93,8,0,0,1,0,1,0,0,94.55,0,39.68,100,94.44,97.22,0.08,0.87,0.00,0.93,-31.98,0.81,0.21,0.72,-0.03,0.90,-41.36,0.77
location1.png,AS_Sketch_3.jpg,8,33.33,22.58,0.94,0.95,4,0,1,0,0,3,0,0,100,0,66.67,100,100,95.24,0.04,0.87,0.00,0.90,-26.61,0.83,0.03,0.67,-0.02,0.84,-32.46,0.82
location1.png,AS_Sketch_4.jpg,7,80.00,45.95,0.93,0.93,6,0,0,0,0,1,0,0,97.79,0,46.91,100,82.61,56.06,0.17,0.83,0.01,0.92,-31.87,0.81,0.37,0.75,-0.02,0.92,-40.42,0.77
location1.png,AS_Sketch_5.jpg,11,37.14,64.71,0.91,0.87,4,1,1,0,0,3,0,2,100,0,41.18,100,57.14,50,0.29,0.84,-0.04,0.93,-34.02,0.80,0.04,0.70,0.02,0.87,-37.69,0.79
location1.png,AS_Sketch_6.jpg,5,30.00,16.67,0.88,0.91,4,0,0,0,0,1,0,0,100,0,61.9,100,87.5,83.33,0.02,0.81,-0.01,0.96,-38.72,0.76,0.01,0.76,0.02,0.85,-36.41,0.80
location1.png,AS_Sketch_7.jpg,11,65.12,54.55,0.92,0.95,8,0,0,1,0,2,0,0,98.04,0,54.39,100,96,90.91,0.24,0.83,0.01,0.90,-30.65,0.82,0.18,0.77,-0.01,0.90,-39.30,0.78
location1.png,AS_Sketch_8.jpg,13,52.63,25.00,0.78,0.65,8,0,0,1,0,4,0,0,100,0,23.08,70,41.67,90,0.05,0.83,-0.01,0.93,-31.86,0.81,0.01,0.73,-0.05,0.94,-46.47,0.74
location1.png,AS_Sketch_9.jpg,8,31.71,19.35,0.92,0.91,5,0,0,0,0,3,0,0,100,0,57.14,100,71.43,100,0.03,0.88,0.00,0.95,-26.61,0.84,0.02,0.84,0.02,0.88,-35.89,0.80
location1.png,AS_Sketch_10.jpg,12,44.74,12.50,0.92,0.9,8,0,0,1,0,3,0,0,100,0,58.82,100,60,50,0.01,0.87,-0.03,0.91,-26.91,0.84,0.04,0.70,0.04,0.87,-44.77,0.75
location1.png,CM_Sketch_1.jpg,6,29.27,29.41,0.85,0.91,4,0,0,0,0,2,0,0,100,0,38.1,100,94.12,92.86,0.07,0.90,0.00,0.94,-30.13,0.81,0.01,0.75,0.02,0.86,-36.63,0.80
location1.png,CM_Sketch_2.jpg,11,66.67,30.56,0.92,0.93,8,0,0,2,0,1,0,0,98.18,0,40.62,100,100,97.22,0.08,0.86,0.00,0.93,-31.90,0.81,0.18,0.71,-0.03,0.90,-42.53,0.76
location1.png,CM_Sketch_3.jpg,10,35.14,21.43,0.91,0.92,4,1,1,0,0,3,0,1,100,0,53.33,100,100,90,0.02,0.78,-0.05,0.87,-24.84,0.83,0.03,0.67,-0.02,0.84,-32.43,0.82
location1.png,CM_Sketch_4.jpg,7,80.00,50.00,0.94,0.93,6,0,0,0,0,1,0,0,98.04,0,46.91,100,82.61,57.58,0.20,0.83,0.01,0.92,-31.88,0.81,0.37,0.75,-0.02,0.92,-40.27,0.78
location1.png,CM_Sketch_5.jpg,12,41.67,64.71,0.78,0.92,4,1,1,0,0,3,1,2,100,0,42.11,100,100,83.33,0.29,0.67,-0.03,0.94,-33.86,0.84,0.04,0.74,0.02,0.87,-37.38,0.79
location1.png,CM_Sketch_6.jpg,5,29.27,16.67,0.83,0.87,4,0,0,0,0,1,0,0,100,0,38.1,100,85.71,83.33,0.02,0.80,-0.01,0.96,-38.72,0.75,0.01,0.77,0.02,0.85,-36.34,0.80
location1.png,CM_Sketch_7.jpg,11,65.12,54.55,0.91,0.93,8,0,0,1,0,2,0,0,98.04,0,38.6,100,96.15,90.91,0.24,0.83,0.00,0.90,-30.67,0.82,0.18,0.77,-0.01,0.90,-39.35,0.78
location1.png,CM_Sketch_8.jpg,14,50.00,25.00,0.91,0.91,9,0,0,1,0,4,0,0,100,0,43.59,100,91.67,90,0.05,0.84,-0.01,0.93,-31.63,0.82,0.06,0.69,0.02,0.90,-40.41,0.78
location1.png,CM_Sketch_9.jpg,8,31.71,19.35,0.92,0.91,5,0,0,0,0,3,0,0,100,0,57.14,100,71.43,100,0.03,0.87,0.00,0.95,-26.79,0.84,0.02,0.83,0.01,0.88,-35.84,0.80
location1.png,CM_Sketch_10.jpg,12,44.74,12.90,0.86,0.86,8,0,0,1,0,3,0,0,100,0,35.29,100,66.67,33.33,0.01,0.89,-0.03,0.91,-26.58,0.84,0.04,0.68,0.05,0.86,-44.91,0.75
location1.png,JK_Sketch_1.jpg,7,30.00,22.58,0.88,0.84,4,0,0,0,0,2,0,1,100,0,57.14,100,57.14,30,0.03,0.85,0.13,0.83,-26.51,0.82,0.01,0.75,0.02,0.86,-36.58,0.80
