Object 1, Object 2, Relations
 ,RCC8, 
g.58,g.57,dc
g.58,g.55,dc
g.58,g.48,dc
g.58,g.53,dc
g.58,g.73,dc
g.58,g.65,dc
g.57,g.55,dc
g.57,g.48,dc
g.57,g.53,dc
g.57,g.73,dc
g.57,g.65,dc
g.55,g.48,dc
g.55,g.53,dc
g.55,g.73,dc
g.55,g.65,dc
g.48,g.53,dc
g.48,g.73,dc
g.48,g.65,dc
g.53,g.73,dc
g.53,g.65,dc
g.73,g.65,dc
 ,DE9IM : line_polygon, 
g.25,g.58,disjoint
g.25,g.57,disjoint
g.25,g.55,disjoint
g.25,g.48,disjoint
g.25,g.53,disjoint
g.25,g.73,disjoint
g.25,g.65,disjoint
g.3.5.7,g.58,disjoint
g.3.5.7,g.57,disjoint
g.3.5.7,g.55,disjoint
g.3.5.7,g.48,disjoint
g.3.5.7,g.53,disjoint
g.3.5.7,g.73,disjoint
g.3.5.7,g.65,disjoint
g.4,g.58,disjoint
g.4,g.57,disjoint
g.4,g.55,disjoint
g.4,g.48,disjoint
g.4,g.53,disjoint
g.4,g.73,disjoint
g.4,g.65,disjoint
g.2,g.58,disjoint
g.2,g.57,disjoint
g.2,g.55,disjoint
g.2,g.48,disjoint
g.2,g.53,disjoint
g.2,g.73,disjoint
g.2,g.65,disjoint
g.8,g.58,disjoint
g.8,g.57,disjoint
g.8,g.55,disjoint
g.8,g.48,disjoint
g.8,g.53,disjoint
g.8,g.73,disjoint
g.8,g.65,disjoint
g.9,g.58,disjoint
g.9,g.57,disjoint
g.9,g.55,disjoint
g.9,g.48,disjoint
g.9,g.53,disjoint
g.9,g.73,disjoint
g.9,g.65,disjoint
g.10,g.58,disjoint
g.10,g.57,disjoint
g.10,g.55,disjoint
g.10,g.48,disjoint
g.10,g.53,disjoint
g.10,g.73,disjoint
g.10,g.65,disjoint
g.47,g.58,disjoint
g.47,g.57,disjoint
g.47,g.55,disjoint
g.47,g.48,disjoint
g.47,g.53,disjoint
g.47,g.73,disjoint
g.47,g.65,disjoint
g.38,g.58,disjoint
g.38,g.57,disjoint
g.38,g.55,disjoint
g.38,g.48,disjoint
g.38,g.53,disjoint
g.38,g.73,disjoint
g.38,g.65,disjoint
g.11,g.58,disjoint
g.11,g.57,disjoint
g.11,g.55,disjoint
g.11,g.48,disjoint
g.11,g.53,disjoint
g.11,g.73,disjoint
g.11,g.65,disjoint
g.0,g.58,disjoint
g.0,g.57,disjoint
g.0,g.55,disjoint
g.0,g.48,disjoint
g.0,g.53,disjoint
g.0,g.73,disjoint
g.0,g.65,disjoint
g.16,g.58,disjoint
g.16,g.57,disjoint
g.16,g.55,disjoint
g.16,g.48,disjoint
g.16,g.53,disjoint
g.16,g.73,disjoint
g.16,g.65,disjoint
g.17,g.58,disjoint
g.17,g.57,disjoint
g.17,g.55,disjoint
g.17,g.48,disjoint
g.17,g.53,disjoint
g.17,g.73,disjoint
g.17,g.65,disjoint
g.26.43,g.58,disjoint
g.26.43,g.57,disjoint
g.26.43,g.55,disjoint
g.26.43,g.48,disjoint
g.26.43,g.53,disjoint
g.26.43,g.73,disjoint
g.26.43,g.65,disjoint
g.40.41.42,g.58,disjoint
g.40.41.42,g.57,disjoint
g.40.41.42,g.55,disjoint
g.40.41.42,g.48,disjoint
g.40.41.42,g.53,disjoint
g.40.41.42,g.73,disjoint
g.40.41.42,g.65,disjoint
g.46,g.58,disjoint
g.46,g.57,disjoint
g.46,g.55,disjoint
g.46,g.48,disjoint
g.46,g.53,disjoint
g.46,g.73,disjoint
g.46,g.65,disjoint
g.45,g.58,disjoint
g.45,g.57,disjoint
g.45,g.55,disjoint
g.45,g.48,disjoint
g.45,g.53,disjoint
g.45,g.73,disjoint
g.45,g.65,disjoint
g.15,g.58,disjoint
g.15,g.57,disjoint
g.15,g.55,disjoint
g.15,g.48,disjoint
g.15,g.53,disjoint
g.15,g.73,disjoint
g.15,g.65,disjoint
g.78,g.58,disjoint
g.78,g.57,disjoint
g.78,g.55,disjoint
g.78,g.48,disjoint
g.78,g.53,disjoint
g.78,g.73,disjoint
g.78,g.65,disjoint
g.34.35,g.58,disjoint
g.34.35,g.57,disjoint
g.34.35,g.55,disjoint
g.34.35,g.48,disjoint
g.34.35,g.53,disjoint
g.34.35,g.73,disjoint
