Object 1 , Object 2, Relations
 ,RCC8, 
g.65,g.55,dc
g.65,g.48,dc
g.65,g.53,dc
g.65,g.73,dc
g.65,g.70,dc
g.55,g.48,dc
g.55,g.53,dc
g.55,g.73,dc
g.55,g.70,dc
g.48,g.53,dc
g.48,g.73,dc
g.48,g.70,dc
g.53,g.73,dc
g.53,g.70,dc
g.73,g.70,dc
 ,DE9IM : line_polygon, 
g.3.5.7,g.65,disjoint
g.3.5.7,g.55,disjoint
g.3.5.7,g.48,disjoint
g.3.5.7,g.53,disjoint
g.3.5.7,g.73,disjoint
g.3.5.7,g.70,disjoint
g.26.43.44,g.65,disjoint
g.26.43.44,g.55,disjoint
g.26.43.44,g.48,disjoint
g.26.43.44,g.53,disjoint
g.26.43.44,g.73,disjoint
g.26.43.44,g.70,disjoint
g.15.34.35,g.65,disjoint
g.15.34.35,g.55,disjoint
g.15.34.35,g.48,disjoint
g.15.34.35,g.53,disjoint
g.15.34.35,g.73,disjoint
g.15.34.35,g.70,disjoint
g.30.32,g.65,disjoint
g.30.32,g.55,disjoint
g.30.32,g.48,disjoint
g.30.32,g.53,disjoint
g.30.32,g.73,disjoint
g.30.32,g.70,disjoint
g.2,g.65,disjoint
g.2,g.55,disjoint
g.2,g.48,disjoint
g.2,g.53,disjoint
g.2,g.73,disjoint
g.2,g.70,disjoint
g.38,g.65,disjoint
g.38,g.55,disjoint
g.38,g.48,disjoint
g.38,g.53,disjoint
g.38,g.73,disjoint
g.38,g.70,disjoint
g.17,g.65,disjoint
g.17,g.55,disjoint
g.17,g.48,disjoint
g.17,g.53,disjoint
g.17,g.73,disjoint
g.17,g.70,disjoint
g.0,g.65,disjoint
g.0,g.55,disjoint
g.0,g.48,disjoint
g.0,g.53,disjoint
g.0,g.73,disjoint
g.0,g.70,disjoint
g.16,g.65,disjoint
g.16,g.55,disjoint
g.16,g.48,disjoint
g.16,g.53,disjoint
g.16,g.73,disjoint
g.16,g.70,disjoint
g.33,g.65,disjoint
g.33,g.55,disjoint
g.33,g.48,disjoint
g.33,g.53,disjoint
g.33,g.73,disjoint
g.33,g.70,disjoint
