Object 1 , Object 2, Relations
 ,RCC8, 
g.84.86,g.60.62.64,dc
g.84.86,g.106.108,dc
g.84.86,g.116,dc
g.84.86,g.114,dc
g.84.86,g.118,dc
g.84.86,g.58,dc
g.84.86,g.68,dc
g.84.86,g.76,dc
g.84.86,g.78,dc
g.84.86,g.90,dc
g.84.86,g.98,dc
g.84.86,g.100,dc
g.84.86,g.110,dc
g.84.86,g.112,dc
g.60.62.64,g.106.108,dc
g.60.62.64,g.116,dc
g.60.62.64,g.114,dc
g.60.62.64,g.118,dc
g.60.62.64,g.58,dc
g.60.62.64,g.68,dc
g.60.62.64,g.76,dc
g.60.62.64,g.78,dc
g.60.62.64,g.90,dc
g.60.62.64,g.98,dc
g.60.62.64,g.100,dc
g.60.62.64,g.110,dc
g.60.62.64,g.112,dc
g.106.108,g.116,dc
g.106.108,g.114,dc
g.106.108,g.118,dc
g.106.108,g.58,dc
g.106.108,g.68,dc
g.106.108,g.76,dc
g.106.108,g.78,dc
g.106.108,g.90,dc
g.106.108,g.98,dc
g.106.108,g.100,dc
g.106.108,g.110,dc
g.106.108,g.112,dc
g.116,g.114,dc
g.116,g.118,dc
g.116,g.58,dc
g.116,g.68,dc
g.116,g.76,dc
g.116,g.78,dc
g.116,g.90,dc
g.116,g.98,dc
g.116,g.100,dc
g.116,g.110,dc
g.116,g.112,dc
g.114,g.118,dc
g.114,g.58,dc
g.114,g.68,dc
g.114,g.76,dc
g.114,g.78,dc
g.114,g.90,dc
g.114,g.98,dc
g.114,g.100,dc
g.114,g.110,dc
g.114,g.112,dc
g.118,g.58,dc
g.118,g.68,dc
g.118,g.76,dc
g.118,g.78,dc
g.118,g.90,dc
g.118,g.98,dc
g.118,g.100,dc
g.118,g.110,dc
g.118,g.112,dc
g.58,g.68,dc
g.58,g.76,dc
g.58,g.78,dc
g.58,g.90,dc
g.58,g.98,dc
g.58,g.100,dc
g.58,g.110,dc
g.58,g.112,dc
g.68,g.76,dc
g.68,g.78,dc
g.68,g.90,dc
g.68,g.98,dc
g.68,g.100,dc
g.68,g.110,dc
g.68,g.112,dc
g.76,g.78,null
g.76,g.90,dc
g.76,g.98,dc
g.76,g.100,dc
g.76,g.110,dc
g.76,g.112,dc
g.78,g.90,dc
g.78,g.98,dc
g.78,g.100,dc
g.78,g.110,dc
g.78,g.112,dc
g.90,g.98,dc
g.90,g.100,dc
g.90,g.110,dc
g.90,g.112,dc
g.98,g.100,dc
g.98,g.110,dc
g.98,g.112,dc
g.100,g.110,dc
g.100,g.112,dc
g.110,g.112,dc
 ,DE9IM : line_polygon, 
g.84.86,g.15.17,disjoint
g.84.86,g.20.22,disjoint
g.84.86,g.10.11,disjoint
g.84.86,g.50.51,disjoint
g.84.86,g.24.26.27.53.54,disjoint
g.84.86,g.1,disjoint
g.84.86,g.0,disjoint
g.84.86,g.2,disjoint
g.84.86,g.123,disjoint
g.84.86,g.32,disjoint
g.84.86,g.23,disjoint
g.84.86,g.52,disjoint
g.84.86,g.55,disjoint
g.60.62.64,g.15.17,disjoint
g.60.62.64,g.20.22,disjoint
g.60.62.64,g.10.11,disjoint
g.60.62.64,g.50.51,disjoint
g.60.62.64,g.24.26.27.53.54,disjoint
g.60.62.64,g.1,disjoint
g.60.62.64,g.0,disjoint
g.60.62.64,g.2,disjoint
g.60.62.64,g.123,disjoint
g.60.62.64,g.32,disjoint
g.60.62.64,g.23,disjoint
g.60.62.64,g.52,disjoint
g.60.62.64,g.55,disjoint
g.106.108,g.15.17,disjoint
g.106.108,g.20.22,disjoint
g.106.108,g.10.11,disjoint
g.106.108,g.50.51,disjoint
g.106.108,g.24.26.27.53.54,disjoint
g.106.108,g.1,disjoint
g.106.108,g.0,disjoint
g.106.108,g.2,disjoint
g.106.108,g.123,disjoint
g.106.108,g.32,disjoint
g.106.108,g.23,disjoint
g.106.108,g.52,disjoint
g.106.108,g.55,disjoint
g.15.17,g.116,disjoint
g.15.17,g.114,disjoint
g.15.17,g.118,disjoint
g.15.17,g.58,disjoint
g.15.17,g.68,disjoint
g.15.17,g.76,disjoint
g.15.17,g.78,disjoint
g.15.17,g.90,disjoint
g.15.17,g.98,disjoint
g.15.17,g.100,disjoint
g.15.17,g.110,disjoint
g.15.17,g.112,disjoint
g.20.22,g.116,disjoint
g.20.22,g.114,disjoint
g.20.22,g.118,disjoint
g.20.22,g.58,disjoint
g.20.22,g.68,disjoint
g.20.22,g.76,disjoint
g.20.22,g.78,disjoint
g.20.22,g.90,disjoint
g.20.22,g.98,disjoint
g.20.22,g.100,disjoint
g.20.22,g.110,disjoint
g.20.22,g.112,disjoint
g.10.11,g.116,disjoint
g.10.11,g.114,disjoint
g.10.11,g.118,disjoint
g.10.11,g.58,disjoint
g.10.11,g.68,disjoint
g.10.11,g.76,disjoint
g.10.11,g.78,disjoint
g.10.11,g.90,disjoint
g.10.11,g.98,disjoint
g.10.11,g.100,disjoint
g.10.11,g.110,disjoint
g.10.11,g.112,disjoint
g.50.51,g.116,disjoint
g.50.51,g.114,disjoint
g.50.51,g.118,disjoint
g.50.51,g.58,disjoint
g.50.51,g.68,disjoint
g.50.51,g.76,disjoint
g.50.51,g.78,disjoint
g.50.51,g.90,disjoint
g.50.51,g.98,disjoint
g.50.51,g.100,disjoint
g.50.51,g.110,disjoint
g.50.51,g.112,disjoint
g.24.26.27.53.54,g.116,disjoint
g.24.26.27.53.54,g.114,disjoint
g.24.26.27.53.54,g.118,disjoint
g.24.26.27.53.54,g.58,disjoint
g.24.26.27.53.54,g.68,disjoint
g.24.26.27.53.54,g.76,disjoint
g.24.26.27.53.54,g.78,disjoint
g.24.26.27.53.54,g.90,disjoint
g.24.26.27.53.54,g.98,disjoint
g.24.26.27.53.54,g.100,disjoint
g.24.26.27.53.54,g.110,disjoint
g.24.26.27.53.54,g.112,disjoint
g.1,g.116,disjoint
g.1,g.114,disjoint
g.1,g.118,disjoint
g.1,g.58,disjoint
g.1,g.68,disjoint
g.1,g.76,disjoint
g.1,g.78,disjoint
g.1,g.90,disjoint
g.1,g.98,disjoint
g.1,g.100,disjoint
g.1,g.110,disjoint
g.1,g.112,disjoint
g.0,g.116,disjoint
g.0,g.114,disjoint
g.0,g.118,disjoint
g.0,g.58,disjoint
g.0,g.68,disjoint
g.0,g.76,disjoint
g.0,g.78,disjoint
g.0,g.90,disjoint
g.0,g.98,disjoint
g.0,g.100,disjoint
