Object 1, Object 2, Relations
 ,RCC8, 
g.58,g.62,dc
g.58,g.60,dc
g.58,g.64,dc
g.58,g.84.86,dc
g.58,g.116,dc
g.58,g.98,dc
g.58,g.120,dc
g.58,g.118,dc
g.62,g.60,null
g.62,g.64,dc
g.62,g.84.86,dc
g.62,g.116,dc
g.62,g.98,dc
g.62,g.120,dc
g.62,g.118,dc
g.60,g.64,ec
g.60,g.84.86,dc
g.60,g.116,dc
g.60,g.98,dc
g.60,g.120,dc
g.60,g.118,dc
g.64,g.84.86,dc
g.64,g.116,dc
g.64,g.98,dc
g.64,g.120,dc
g.64,g.118,dc
g.84.86,g.116,dc
g.84.86,g.98,dc
g.84.86,g.120,dc
g.84.86,g.118,dc
g.116,g.98,dc
g.116,g.120,dc
g.116,g.118,dc
g.98,g.120,dc
g.98,g.118,dc
g.120,g.118,dc
 ,DE9IM : line_polygon, 
g.0,g.58,disjoint
g.0,g.62,disjoint
g.0,g.60,disjoint
g.0,g.64,disjoint
g.0,g.84.86,disjoint
g.0,g.116,disjoint
g.0,g.98,disjoint
g.0,g.120,disjoint
g.0,g.118,disjoint
g.1,g.58,disjoint
g.1,g.62,disjoint
g.1,g.60,disjoint
g.1,g.64,disjoint
g.1,g.84.86,disjoint
g.1,g.116,disjoint
g.1,g.98,disjoint
g.1,g.120,disjoint
g.1,g.118,disjoint
g.15.17,g.58,disjoint
g.15.17,g.62,disjoint
g.15.17,g.60,disjoint
g.15.17,g.64,disjoint
g.15.17,g.84.86,disjoint
g.15.17,g.116,disjoint
g.15.17,g.98,disjoint
g.15.17,g.120,disjoint
g.15.17,g.118,disjoint
g.18,g.58,disjoint
g.18,g.62,disjoint
g.18,g.60,disjoint
g.18,g.64,disjoint
g.18,g.84.86,disjoint
g.18,g.116,disjoint
g.18,g.98,disjoint
g.18,g.120,disjoint
g.18,g.118,disjoint
g.19,g.58,disjoint
g.19,g.62,disjoint
g.19,g.60,disjoint
g.19,g.64,disjoint
g.19,g.84.86,disjoint
g.19,g.116,disjoint
g.19,g.98,disjoint
g.19,g.120,disjoint
g.19,g.118,disjoint
g.20.22.24.26.27,g.58,disjoint
g.20.22.24.26.27,g.62,disjoint
g.20.22.24.26.27,g.60,disjoint
g.20.22.24.26.27,g.64,disjoint
g.20.22.24.26.27,g.84.86,disjoint
g.20.22.24.26.27,g.116,disjoint
g.20.22.24.26.27,g.98,disjoint
g.20.22.24.26.27,g.120,disjoint
g.20.22.24.26.27,g.118,disjoint
g.56,g.58,disjoint
g.56,g.62,disjoint
g.56,g.60,disjoint
g.56,g.64,disjoint
g.56,g.84.86,disjoint
g.56,g.116,disjoint
g.56,g.98,disjoint
g.56,g.120,disjoint
g.56,g.118,disjoint
g.55,g.58,disjoint
g.55,g.62,disjoint
g.55,g.60,disjoint
g.55,g.64,disjoint
g.55,g.84.86,disjoint
g.55,g.116,disjoint
g.55,g.98,disjoint
g.55,g.120,disjoint
