Object 1, Object 2, Relations
 ,RCC8, 
g.95,g.101,dc
g.95,g.77,dc
g.95,g.79,dc
g.95,g.87,dc
g.95,g.85,dc
g.95,g.83,dc
g.95,g.81,dc
g.95,g.89,dc
g.95,g.91,dc
g.95,g.93,dc
g.95,g.105,dc
g.95,g.104,dc
g.95,g.102.103,dc
g.95,g.107.108,dc
g.101,g.77,dc
g.101,g.79,dc
g.101,g.87,dc
g.101,g.85,dc
g.101,g.83,dc
g.101,g.81,dc
g.101,g.89,dc
g.101,g.91,dc
g.101,g.93,dc
g.101,g.105,dc
g.101,g.104,dc
g.101,g.102.103,dc
g.101,g.107.108,dc
g.77,g.79,dc
g.77,g.87,dc
g.77,g.85,dc
g.77,g.83,dc
g.77,g.81,dc
g.77,g.89,dc
g.77,g.91,dc
g.77,g.93,dc
g.77,g.105,dc
g.77,g.104,dc
g.77,g.102.103,dc
g.77,g.107.108,dc
g.79,g.87,dc
g.79,g.85,dc
g.79,g.83,dc
g.79,g.81,dc
g.79,g.89,dc
g.79,g.91,dc
g.79,g.93,dc
g.79,g.105,dc
g.79,g.104,dc
g.79,g.102.103,dc
g.79,g.107.108,dc
g.87,g.85,null
g.87,g.83,dc
g.87,g.81,dc
g.87,g.89,dc
g.87,g.91,dc
g.87,g.93,dc
g.87,g.105,dc
g.87,g.104,dc
g.87,g.102.103,dc
g.87,g.107.108,dc
g.85,g.83,dc
g.85,g.81,dc
g.85,g.89,dc
g.85,g.91,dc
g.85,g.93,dc
g.85,g.105,dc
g.85,g.104,dc
g.85,g.102.103,dc
g.85,g.107.108,dc
g.83,g.81,null
g.83,g.89,dc
g.83,g.91,dc
g.83,g.93,dc
g.83,g.105,dc
g.83,g.104,dc
g.83,g.102.103,dc
g.83,g.107.108,dc
g.81,g.89,dc
g.81,g.91,dc
g.81,g.93,dc
g.81,g.105,dc
g.81,g.104,dc
g.81,g.102.103,dc
g.81,g.107.108,dc
g.89,g.91,null
g.89,g.93,dc
g.89,g.105,dc
g.89,g.104,dc
g.89,g.102.103,dc
g.89,g.107.108,dc
g.91,g.93,dc
g.91,g.105,dc
g.91,g.104,dc
g.91,g.102.103,dc
g.91,g.107.108,dc
g.93,g.105,dc
g.93,g.104,dc
g.93,g.102.103,dc
g.93,g.107.108,dc
g.105,g.104,null
g.105,g.102.103,dc
g.105,g.107.108,dc
g.104,g.102.103,dc
g.104,g.107.108,dc
g.102.103,g.107.108,dc
 ,DE9IM : line_polygon, 
g.25,g.95,disjoint
g.25,g.101,disjoint
g.25,g.77,disjoint
g.25,g.79,disjoint
g.25,g.87,disjoint
g.25,g.85,disjoint
g.25,g.83,disjoint
g.25,g.81,disjoint
g.25,g.89,disjoint
g.25,g.91,disjoint
g.25,g.93,disjoint
g.25,g.105,disjoint
g.25,g.104,disjoint
g.25,g.102.103,disjoint
g.25,g.107.108,disjoint
g.5.8,g.95,disjoint
g.5.8,g.101,disjoint
g.5.8,g.77,disjoint
g.5.8,g.79,disjoint
g.5.8,g.87,disjoint
g.5.8,g.85,disjoint
g.5.8,g.83,disjoint
