Object 1 , Object 2, Relations
 ,RCC8, 
g.73.75.77.79.81.83.85.87.89.91.93.95.101.102.103.104.105.106,g.71,dc
g.73.75.77.79.81.83.85.87.89.91.93.95.101.102.103.104.105.106,g.110,dc
g.73.75.77.79.81.83.85.87.89.91.93.95.101.102.103.104.105.106,g.109,dc
g.73.75.77.79.81.83.85.87.89.91.93.95.101.102.103.104.105.106,g.108,dc
g.73.75.77.79.81.83.85.87.89.91.93.95.101.102.103.104.105.106,g.107,dc
g.71,g.110,dc
g.71,g.109,dc
g.71,g.108,dc
g.71,g.107,dc
g.110,g.109,dc
g.110,g.108,dc
g.110,g.107,dc
g.109,g.108,dc
g.109,g.107,dc
g.108,g.107,dc
 ,DE9IM : line_polygon, 
g.73.75.77.79.81.83.85.87.89.91.93.95.101.102.103.104.105.106,g.4.31,disjoint
g.73.75.77.79.81.83.85.87.89.91.93.95.101.102.103.104.105.106,g.113.115,disjoint
g.73.75.77.79.81.83.85.87.89.91.93.95.101.102.103.104.105.106,g.26.36.37,disjoint
g.73.75.77.79.81.83.85.87.89.91.93.95.101.102.103.104.105.106,g.6.19,disjoint
g.73.75.77.79.81.83.85.87.89.91.93.95.101.102.103.104.105.106,g.33.39,disjoint
g.73.75.77.79.81.83.85.87.89.91.93.95.101.102.103.104.105.106,g.0,disjoint
g.73.75.77.79.81.83.85.87.89.91.93.95.101.102.103.104.105.106,g.32,disjoint
g.73.75.77.79.81.83.85.87.89.91.93.95.101.102.103.104.105.106,g.41,disjoint
g.73.75.77.79.81.83.85.87.89.91.93.95.101.102.103.104.105.106,g.43,disjoint
g.73.75.77.79.81.83.85.87.89.91.93.95.101.102.103.104.105.106,g.44,disjoint
g.73.75.77.79.81.83.85.87.89.91.93.95.101.102.103.104.105.106,g.45,disjoint
g.73.75.77.79.81.83.85.87.89.91.93.95.101.102.103.104.105.106,g.46,disjoint
g.73.75.77.79.81.83.85.87.89.91.93.95.101.102.103.104.105.106,g.63,disjoint
g.73.75.77.79.81.83.85.87.89.91.93.95.101.102.103.104.105.106,g.62,disjoint
g.73.75.77.79.81.83.85.87.89.91.93.95.101.102.103.104.105.106,g.58,disjoint
g.73.75.77.79.81.83.85.87.89.91.93.95.101.102.103.104.105.106,g.64,disjoint
g.73.75.77.79.81.83.85.87.89.91.93.95.101.102.103.104.105.106,g.60,disjoint
g.73.75.77.79.81.83.85.87.89.91.93.95.101.102.103.104.105.106,g.57,disjoint
g.73.75.77.79.81.83.85.87.89.91.93.95.101.102.103.104.105.106,g.51,disjoint
g.73.75.77.79.81.83.85.87.89.91.93.95.101.102.103.104.105.106,g.49,disjoint
g.73.75.77.79.81.83.85.87.89.91.93.95.101.102.103.104.105.106,g.42,disjoint
g.73.75.77.79.81.83.85.87.89.91.93.95.101.102.103.104.105.106,g.50,disjoint
g.73.75.77.79.81.83.85.87.89.91.93.95.101.102.103.104.105.106,g.56,disjoint
g.73.75.77.79.81.83.85.87.89.91.93.95.101.102.103.104.105.106,g.54,disjoint
g.73.75.77.79.81.83.85.87.89.91.93.95.101.102.103.104.105.106,g.55,disjoint
g.73.75.77.79.81.83.85.87.89.91.93.95.101.102.103.104.105.106,g.59,disjoint
g.73.75.77.79.81.83.85.87.89.91.93.95.101.102.103.104.105.106,g.65,disjoint
g.73.75.77.79.81.83.85.87.89.91.93.95.101.102.103.104.105.106,g.66,disjoint
g.73.75.77.79.81.83.85.87.89.91.93.95.101.102.103.104.105.106,g.52,disjoint
g.73.75.77.79.81.83.85.87.89.91.93.95.101.102.103.104.105.106,g.53,disjoint
g.73.75.77.79.81.83.85.87.89.91.93.95.101.102.103.104.105.106,g.48,disjoint
g.73.75.77.79.81.83.85.87.89.91.93.95.101.102.103.104.105.106,g.40,disjoint
g.73.75.77.79.81.83.85.87.89.91.93.95.101.102.103.104.105.106,g.38,disjoint
g.73.75.77.79.81.83.85.87.89.91.93.95.101.102.103.104.105.106,g.67,disjoint
g.73.75.77.79.81.83.85.87.89.91.93.95.101.102.103.104.105.106,g.21,disjoint
g.73.75.77.79.81.83.85.87.89.91.93.95.101.102.103.104.105.106,g.68,disjoint
g.4.31,g.71,disjoint
g.4.31,g.110,disjoint
g.4.31,g.109,disjoint
g.4.31,g.108,disjoint
g.4.31,g.107,disjoint
g.113.115,g.71,disjoint
g.113.115,g.110,disjoint
g.113.115,g.109,disjoint
g.113.115,g.108,disjoint
g.113.115,g.107,disjoint
g.26.36.37,g.71,disjoint
g.26.36.37,g.110,disjoint
g.26.36.37,g.109,disjoint
g.26.36.37,g.108,disjoint
g.26.36.37,g.107,disjoint
g.6.19,g.71,disjoint
g.6.19,g.110,disjoint
g.6.19,g.109,disjoint
g.6.19,g.108,disjoint
g.6.19,g.107,disjoint
g.33.39,g.71,disjoint
g.33.39,g.110,disjoint
g.33.39,g.109,disjoint
g.33.39,g.108,disjoint
g.33.39,g.107,disjoint
g.0,g.71,disjoint
g.0,g.110,disjoint
g.0,g.109,disjoint
g.0,g.108,disjoint
g.0,g.107,disjoint
g.32,g.71,disjoint
g.32,g.110,disjoint
g.32,g.109,disjoint
g.32,g.108,disjoint
g.32,g.107,disjoint
g.41,g.71,disjoint
g.41,g.110,disjoint
g.41,g.109,disjoint
g.41,g.108,disjoint
g.41,g.107,disjoint
g.43,g.71,disjoint
g.43,g.110,disjoint
g.43,g.109,disjoint
g.43,g.108,disjoint
g.43,g.107,disjoint
g.44,g.71,disjoint
g.44,g.110,disjoint
g.44,g.109,disjoint
g.44,g.108,disjoint
g.44,g.107,disjoint
g.45,g.71,disjoint
g.45,g.110,disjoint
g.45,g.109,disjoint
g.45,g.108,disjoint
g.45,g.107,disjoint
g.46,g.71,disjoint
g.46,g.110,disjoint
g.46,g.109,disjoint
g.46,g.108,disjoint
g.46,g.107,disjoint
g.63,g.71,disjoint
g.63,g.110,disjoint
g.63,g.109,disjoint
g.63,g.108,disjoint
g.63,g.107,disjoint
g.62,g.71,disjoint
g.62,g.110,disjoint
g.62,g.109,disjoint
g.62,g.108,disjoint
g.62,g.107,disjoint
g.58,g.71,disjoint
g.58,g.110,disjoint
g.58,g.109,disjoint
g.58,g.108,disjoint
g.58,g.107,disjoint
g.64,g.71,disjoint
g.64,g.110,disjoint
g.64,g.109,disjoint
g.64,g.108,disjoint
g.64,g.107,disjoint
g.60,g.71,disjoint
g.60,g.110,disjoint
g.60,g.109,disjoint
g.60,g.108,disjoint
g.60,g.107,disjoint
g.57,g.71,disjoint
g.57,g.110,disjoint
g.57,g.109,disjoint
g.57,g.108,disjoint
g.57,g.107,disjoint
g.51,g.71,disjoint
g.51,g.110,disjoint
g.51,g.109,disjoint
g.51,g.108,disjoint
g.51,g.107,disjoint
g.49,g.71,disjoint
g.49,g.110,disjoint
g.49,g.109,disjoint
g.49,g.108,disjoint
g.49,g.107,disjoint
g.42,g.71,disjoint
g.42,g.110,disjoint
g.42,g.109,disjoint
g.42,g.108,disjoint
g.42,g.107,disjoint
g.50,g.71,disjoint
g.50,g.110,disjoint
g.50,g.109,disjoint
g.50,g.108,disjoint
g.50,g.107,disjoint
g.56,g.71,disjoint
g.56,g.110,disjoint
g.56,g.109,disjoint
g.56,g.108,disjoint
g.56,g.107,disjoint
g.54,g.71,disjoint
g.54,g.110,disjoint
g.54,g.109,disjoint
g.54,g.108,disjoint
g.54,g.107,disjoint
g.55,g.71,disjoint
g.55,g.110,disjoint
g.55,g.109,disjoint
g.55,g.108,disjoint
g.55,g.107,disjoint
g.59,g.71,disjoint
g.59,g.110,disjoint
g.59,g.109,disjoint
g.59,g.108,disjoint
g.59,g.107,disjoint
g.65,g.71,disjoint
g.65,g.110,disjoint
g.65,g.109,disjoint
g.65,g.108,disjoint
g.65,g.107,disjoint
g.66,g.71,disjoint
g.66,g.110,disjoint
g.66,g.109,disjoint
g.66,g.108,disjoint
g.66,g.107,disjoint
g.52,g.71,disjoint
g.52,g.110,disjoint
g.52,g.109,disjoint
g.52,g.108,disjoint
g.52,g.107,disjoint
g.53,g.71,disjoint
g.53,g.110,disjoint
g.53,g.109,disjoint
g.53,g.108,disjoint
g.53,g.107,disjoint
g.48,g.71,disjoint
g.48,g.110,disjoint
g.48,g.109,disjoint
g.48,g.108,disjoint
g.48,g.107,disjoint
g.40,g.71,disjoint
g.40,g.110,disjoint
g.40,g.109,disjoint
g.40,g.108,disjoint
g.40,g.107,disjoint
g.38,g.71,disjoint
g.38,g.110,disjoint
g.38,g.109,disjoint
g.38,g.108,disjoint
g.38,g.107,disjoint
g.67,g.71,disjoint
g.67,g.110,disjoint
g.67,g.109,disjoint
g.67,g.108,disjoint
g.67,g.107,disjoint
g.21,g.71,disjoint
g.21,g.110,disjoint
g.21,g.109,disjoint
g.21,g.108,disjoint
g.21,g.107,disjoint
g.68,g.71,disjoint
g.68,g.110,disjoint
g.68,g.109,disjoint
g.68,g.108,disjoint
g.68,g.107,disjoint
 ,leftRight, 
g.4.31,g.73.75.77.79.81.83.85.87.89.91.93.95.101.102.103.104.105.106,right
g.4.31,g.71,nonAdjacent
g.4.31,g.110,nonAdjacent
g.4.31,g.109,nonAdjacent
g.4.31,g.108,nonAdjacent
g.4.31,g.107,nonAdjacent
g.33.39,g.73.75.77.79.81.83.85.87.89.91.93.95.101.102.103.104.105.106,right
g.33.39,g.71,nonAdjacent
g.33.39,g.110,nonAdjacent
g.33.39,g.109,nonAdjacent
