Object 1, Object 2, Relations
 ,RCC8, 
g.101,g.77,dc
g.101,g.105,dc
g.101,g.71,dc
g.101,g.107,dc
g.101,g.108,dc
g.101,g.110,dc
g.77,g.105,dc
g.77,g.71,dc
g.77,g.107,dc
g.77,g.108,dc
g.77,g.110,dc
g.105,g.71,dc
g.105,g.107,dc
g.105,g.108,dc
g.105,g.110,dc
g.71,g.107,dc
g.71,g.108,dc
g.71,g.110,dc
g.107,g.108,dc
g.107,g.110,dc
g.108,g.110,dc
 ,DE9IM : line_polygon, 
g.0,g.101,disjoint
g.0,g.77,disjoint
g.0,g.105,disjoint
g.0,g.71,disjoint
g.0,g.107,disjoint
g.0,g.108,disjoint
g.0,g.110,disjoint
g.1,g.101,disjoint
g.1,g.77,disjoint
g.1,g.105,disjoint
g.1,g.71,disjoint
g.1,g.107,disjoint
g.1,g.108,disjoint
g.1,g.110,disjoint
g.3,g.101,disjoint
g.3,g.77,disjoint
g.3,g.105,disjoint
g.3,g.71,disjoint
g.3,g.107,disjoint
g.3,g.108,disjoint
g.3,g.110,disjoint
g.2,g.101,disjoint
g.2,g.77,disjoint
g.2,g.105,disjoint
g.2,g.71,disjoint
g.2,g.107,disjoint
g.2,g.108,disjoint
g.2,g.110,disjoint
g.4,g.101,disjoint
g.4,g.77,disjoint
g.4,g.105,disjoint
g.4,g.71,disjoint
g.4,g.107,disjoint
g.4,g.108,disjoint
g.4,g.110,disjoint
g.5.8,g.101,disjoint
g.5.8,g.77,disjoint
g.5.8,g.105,disjoint
g.5.8,g.71,disjoint
g.5.8,g.107,disjoint
g.5.8,g.108,disjoint
g.5.8,g.110,disjoint
g.111,g.101,disjoint
g.111,g.77,disjoint
g.111,g.105,disjoint
g.111,g.71,disjoint
g.111,g.107,disjoint
g.111,g.108,disjoint
g.111,g.110,disjoint
g.9,g.101,disjoint
g.9,g.77,disjoint
g.9,g.105,disjoint
g.9,g.71,disjoint
g.9,g.107,disjoint
g.9,g.108,disjoint
g.9,g.110,disjoint
g.10,g.101,disjoint
g.10,g.77,disjoint
g.10,g.105,disjoint
g.10,g.71,disjoint
g.10,g.107,disjoint
g.10,g.108,disjoint
g.10,g.110,disjoint
g.112,g.101,disjoint
g.112,g.77,disjoint
g.112,g.105,disjoint
g.112,g.71,disjoint
g.112,g.107,disjoint
g.112,g.108,disjoint
g.112,g.110,disjoint
g.12.14.16,g.101,disjoint
g.12.14.16,g.77,disjoint
g.12.14.16,g.105,disjoint
g.12.14.16,g.71,disjoint
g.12.14.16,g.107,disjoint
g.12.14.16,g.108,disjoint
g.12.14.16,g.110,disjoint
g.34,g.101,disjoint
g.34,g.77,disjoint
g.34,g.105,disjoint
g.34,g.71,disjoint
g.34,g.107,disjoint
g.34,g.108,disjoint
g.34,g.110,disjoint
g.31,g.101,disjoint
g.31,g.77,disjoint
g.31,g.105,disjoint
g.31,g.71,disjoint
g.31,g.107,disjoint
g.31,g.108,disjoint
g.31,g.110,disjoint
g.33,g.101,disjoint
g.33,g.77,disjoint
g.33,g.105,disjoint
g.33,g.71,disjoint
g.33,g.107,disjoint
g.33,g.108,disjoint
g.33,g.110,disjoint
g.32,g.101,disjoint
g.32,g.77,disjoint
g.32,g.105,disjoint
g.32,g.71,disjoint
g.32,g.107,disjoint
g.32,g.108,disjoint
g.32,g.110,disjoint
g.17,g.101,disjoint
g.17,g.77,disjoint
g.17,g.105,disjoint
g.17,g.71,disjoint
g.17,g.107,disjoint
g.17,g.108,disjoint
g.17,g.110,disjoint
g.35,g.101,disjoint
g.35,g.77,disjoint
g.35,g.105,disjoint
g.35,g.71,disjoint
g.35,g.107,disjoint
g.35,g.108,disjoint
g.35,g.110,disjoint
g.29,g.101,disjoint
g.29,g.77,disjoint
g.29,g.105,disjoint
g.29,g.71,disjoint
g.29,g.107,disjoint
g.29,g.108,disjoint
g.29,g.110,disjoint
g.28,g.101,disjoint
g.28,g.77,disjoint
g.28,g.105,disjoint
g.28,g.71,disjoint
g.28,g.107,disjoint
g.28,g.108,disjoint
g.28,g.110,disjoint
g.36,g.101,disjoint
g.36,g.77,disjoint
g.36,g.105,disjoint
g.36,g.71,disjoint
g.36,g.107,disjoint
g.36,g.108,disjoint
g.36,g.110,disjoint
g.30,g.101,disjoint
g.30,g.77,disjoint
g.30,g.105,disjoint
g.30,g.71,disjoint
g.30,g.107,disjoint
g.30,g.108,disjoint
g.30,g.110,disjoint
g.27,g.101,disjoint
g.27,g.77,disjoint
g.27,g.105,disjoint
g.27,g.71,disjoint
g.27,g.107,disjoint
g.27,g.108,disjoint
g.27,g.110,disjoint
g.25,g.101,disjoint
g.25,g.77,disjoint
g.25,g.105,disjoint
g.25,g.71,disjoint
g.25,g.107,disjoint
g.25,g.108,disjoint
g.25,g.110,disjoint
g.6.19,g.101,disjoint
g.6.19,g.77,disjoint
g.6.19,g.105,disjoint
g.6.19,g.71,disjoint
g.6.19,g.107,disjoint
g.6.19,g.108,disjoint
g.6.19,g.110,disjoint
g.22,g.101,disjoint
g.22,g.77,disjoint
g.22,g.105,disjoint
g.22,g.71,disjoint
g.22,g.107,disjoint
g.22,g.108,disjoint
g.22,g.110,disjoint
g.20,g.101,disjoint
g.20,g.77,disjoint
g.20,g.105,disjoint
g.20,g.71,disjoint
g.20,g.107,disjoint
g.20,g.108,disjoint
g.20,g.110,disjoint
g.21,g.101,disjoint
g.21,g.77,disjoint
g.21,g.105,disjoint
g.21,g.71,disjoint
g.21,g.107,disjoint
g.21,g.108,disjoint
g.21,g.110,disjoint
g.23,g.101,disjoint
g.23,g.77,disjoint
g.23,g.105,disjoint
g.23,g.71,disjoint
g.23,g.107,disjoint
g.23,g.108,disjoint
g.23,g.110,disjoint
g.24,g.101,disjoint
g.24,g.77,disjoint
g.24,g.105,disjoint
g.24,g.71,disjoint
g.24,g.107,disjoint
g.24,g.108,disjoint
g.24,g.110,disjoint
g.26,g.101,disjoint
g.26,g.77,disjoint
g.26,g.105,disjoint
g.26,g.71,disjoint
g.26,g.107,disjoint
g.26,g.108,disjoint
g.26,g.110,disjoint
g.39.41.43.45,g.101,disjoint
g.39.41.43.45,g.77,disjoint
g.39.41.43.45,g.105,disjoint
g.39.41.43.45,g.71,disjoint
g.39.41.43.45,g.107,disjoint
g.39.41.43.45,g.108,disjoint
g.39.41.43.45,g.110,disjoint
g.46,g.101,disjoint
g.46,g.77,disjoint
g.46,g.105,disjoint
g.46,g.71,disjoint
g.46,g.107,disjoint
g.46,g.108,disjoint
g.46,g.110,disjoint
g.63.64,g.101,disjoint
g.63.64,g.77,disjoint
g.63.64,g.105,disjoint
g.63.64,g.71,disjoint
g.63.64,g.107,disjoint
g.63.64,g.108,disjoint
g.63.64,g.110,disjoint
g.66,g.101,disjoint
g.66,g.77,disjoint
g.66,g.105,disjoint
g.66,g.71,disjoint
g.66,g.107,disjoint
g.66,g.108,disjoint
g.66,g.110,disjoint
g.48.52.53.55.59.65.113.115,g.101,disjoint
g.48.52.53.55.59.65.113.115,g.77,disjoint
g.48.52.53.55.59.65.113.115,g.105,disjoint
g.48.52.53.55.59.65.113.115,g.71,disjoint
g.48.52.53.55.59.65.113.115,g.107,disjoint
g.48.52.53.55.59.65.113.115,g.108,disjoint
g.48.52.53.55.59.65.113.115,g.110,disjoint
g.37.67,g.101,disjoint
g.37.67,g.77,disjoint
g.37.67,g.105,disjoint
g.37.67,g.71,disjoint
g.37.67,g.107,disjoint
g.37.67,g.108,disjoint
g.37.67,g.110,disjoint
g.68,g.101,disjoint
g.68,g.77,disjoint
g.68,g.105,disjoint
g.68,g.71,disjoint
g.68,g.107,disjoint
g.68,g.108,disjoint
g.68,g.110,disjoint
 ,leftRight, 
g.0,g.101,nonAdjacent
g.0,g.77,nonAdjacent
g.0,g.105,nonAdjacent
g.0,g.71,nonAdjacent
g.0,g.107,nonAdjacent
g.0,g.108,nonAdjacent
g.0,g.110,nonAdjacent
g.3,g.101,nonAdjacent
g.3,g.77,nonAdjacent
g.3,g.105,nonAdjacent
g.3,g.71,nonAdjacent
g.3,g.107,nonAdjacent
g.3,g.108,nonAdjacent
g.3,g.110,nonAdjacent
g.4,g.101,nonAdjacent
g.4,g.77,nonAdjacent
g.4,g.105,nonAdjacent
g.4,g.71,nonAdjacent
g.4,g.107,nonAdjacent
g.4,g.108,nonAdjacent
g.4,g.110,nonAdjacent
g.31,g.101,nonAdjacent
g.31,g.77,nonAdjacent
g.31,g.105,nonAdjacent
g.31,g.71,nonAdjacent
g.31,g.107,nonAdjacent
g.31,g.108,nonAdjacent
g.31,g.110,nonAdjacent
g.33,g.101,right
g.33,g.77,nonAdjacent
g.33,g.105,nonAdjacent
g.33,g.71,left
g.33,g.107,nonAdjacent
g.33,g.108,nonAdjacent
g.33,g.110,nonAdjacent
g.39.41.43.45,g.101,nonAdjacent
g.39.41.43.45,g.77,nonAdjacent
g.39.41.43.45,g.105,nonAdjacent
g.39.41.43.45,g.71,nonAdjacent
g.39.41.43.45,g.107,right
g.39.41.43.45,g.108,nonAdjacent
g.39.41.43.45,g.110,nonAdjacent
g.63.64,g.101,nonAdjacent
g.63.64,g.77,nonAdjacent
g.63.64,g.105,nonAdjacent
g.63.64,g.71,nonAdjacent
g.63.64,g.107,nonAdjacent
g.63.64,g.108,nonAdjacent
g.63.64,g.110,nonAdjacent
g.66,g.101,nonAdjacent
g.66,g.77,nonAdjacent
g.66,g.105,nonAdjacent
g.66,g.71,nonAdjacent
g.66,g.107,nonAdjacent
g.66,g.108,nonAdjacent
g.66,g.110,right
g.68,g.101,nonAdjacent
g.68,g.77,nonAdjacent
g.68,g.105,nonAdjacent
g.68,g.71,nonAdjacent
g.68,g.107,nonAdjacent
g.68,g.108,nonAdjacent
g.68,g.110,nonAdjacent
 ,opra, 
g.0,g.1,front_of
g.0,g.3,half_left
g.0,g.2,nonAdjacent
g.0,g.4,nonAdjacent
g.0,g.5.8,nonAdjacent
g.0,g.111,nonAdjacent
g.0,g.9,nonAdjacent
g.0,g.10,nonAdjacent
g.0,g.112,nonAdjacent
g.0,g.12.14.16,nonAdjacent
g.0,g.34,nonAdjacent
g.0,g.31,nonAdjacent
g.0,g.33,nonAdjacent
g.0,g.32,nonAdjacent
g.0,g.17,nonAdjacent
g.0,g.35,nonAdjacent
g.0,g.29,nonAdjacent
g.0,g.28,nonAdjacent
g.0,g.36,nonAdjacent
g.0,g.30,nonAdjacent
g.0,g.27,nonAdjacent
g.0,g.25,nonAdjacent
g.0,g.6.19,nonAdjacent
g.0,g.22,nonAdjacent
g.0,g.20,nonAdjacent
g.0,g.21,nonAdjacent
g.0,g.23,nonAdjacent
g.0,g.24,nonAdjacent
g.0,g.26,nonAdjacent
g.0,g.39.41.43.45,nonAdjacent
g.0,g.46,nonAdjacent
g.0,g.63.64,nonAdjacent
g.0,g.66,nonAdjacent
g.0,g.48.52.53.55.59.65.113.115,nonAdjacent
g.0,g.37.67,nonAdjacent
g.0,g.68,nonAdjacent
g.1,g.3,half_left
g.1,g.2,sharp_left_of
g.1,g.4,nonAdjacent
g.1,g.5.8,nonAdjacent
g.1,g.111,nonAdjacent
g.1,g.9,nonAdjacent
g.1,g.10,nonAdjacent
g.1,g.112,nonAdjacent
g.1,g.12.14.16,nonAdjacent
g.1,g.34,nonAdjacent
g.1,g.31,nonAdjacent
g.1,g.33,nonAdjacent
g.1,g.32,nonAdjacent
g.1,g.17,nonAdjacent
g.1,g.35,nonAdjacent
g.1,g.29,nonAdjacent
g.1,g.28,nonAdjacent
g.1,g.36,nonAdjacent
g.1,g.30,nonAdjacent
g.1,g.27,nonAdjacent
g.1,g.25,nonAdjacent
g.1,g.6.19,front_of
g.1,g.22,nonAdjacent
g.1,g.20,nonAdjacent
g.1,g.21,nonAdjacent
g.1,g.23,nonAdjacent
g.1,g.24,nonAdjacent
g.1,g.26,nonAdjacent
g.1,g.39.41.43.45,nonAdjacent
g.1,g.46,nonAdjacent
g.1,g.63.64,nonAdjacent
g.1,g.66,nonAdjacent
g.1,g.48.52.53.55.59.65.113.115,nonAdjacent
g.1,g.37.67,nonAdjacent
g.1,g.68,nonAdjacent
g.3,g.2,left_of
g.3,g.4,front_of
g.3,g.5.8,nonAdjacent
g.3,g.111,nonAdjacent
g.3,g.9,nonAdjacent
g.3,g.10,nonAdjacent
g.3,g.112,nonAdjacent
g.3,g.12.14.16,nonAdjacent
g.3,g.34,nonAdjacent
g.3,g.31,nonAdjacent
g.3,g.33,nonAdjacent
g.3,g.32,nonAdjacent
g.3,g.17,nonAdjacent
g.3,g.35,nonAdjacent
g.3,g.29,nonAdjacent
g.3,g.28,nonAdjacent
g.3,g.36,nonAdjacent
g.3,g.30,nonAdjacent
g.3,g.27,nonAdjacent
g.3,g.25,nonAdjacent
g.3,g.6.19,nonAdjacent
g.3,g.22,nonAdjacent
g.3,g.20,nonAdjacent
g.3,g.21,nonAdjacent
g.3,g.23,nonAdjacent
g.3,g.24,nonAdjacent
g.3,g.26,nonAdjacent
g.3,g.39.41.43.45,nonAdjacent
g.3,g.46,nonAdjacent
g.3,g.63.64,nonAdjacent
g.3,g.66,nonAdjacent
g.3,g.48.52.53.55.59.65.113.115,nonAdjacent
g.3,g.37.67,nonAdjacent
g.3,g.68,nonAdjacent
g.2,g.4,half_right
g.2,g.5.8,nonAdjacent
g.2,g.111,nonAdjacent
g.2,g.9,nonAdjacent
g.2,g.10,nonAdjacent
g.2,g.112,nonAdjacent
g.2,g.12.14.16,nonAdjacent
g.2,g.34,nonAdjacent
g.2,g.31,nonAdjacent
g.2,g.33,nonAdjacent
g.2,g.32,nonAdjacent
g.2,g.17,nonAdjacent
g.2,g.35,nonAdjacent
g.2,g.29,nonAdjacent
g.2,g.28,nonAdjacent
g.2,g.36,nonAdjacent
g.2,g.30,nonAdjacent
g.2,g.27,nonAdjacent
g.2,g.25,nonAdjacent
g.2,g.6.19,sharp_right_of
g.2,g.22,nonAdjacent
g.2,g.20,nonAdjacent
g.2,g.21,nonAdjacent
g.2,g.23,nonAdjacent
g.2,g.24,nonAdjacent
g.2,g.26,nonAdjacent
g.2,g.39.41.43.45,nonAdjacent
g.2,g.46,nonAdjacent
g.2,g.63.64,nonAdjacent
g.2,g.66,nonAdjacent
g.2,g.48.52.53.55.59.65.113.115,nonAdjacent
g.2,g.37.67,nonAdjacent
g.2,g.68,nonAdjacent
g.4,g.5.8,half_right
g.4,g.111,nonAdjacent
g.4,g.9,nonAdjacent
g.4,g.10,nonAdjacent
g.4,g.112,nonAdjacent
g.4,g.12.14.16,nonAdjacent
g.4,g.34,nonAdjacent
g.4,g.31,front_of
g.4,g.33,nonAdjacent
g.4,g.32,nonAdjacent
g.4,g.17,nonAdjacent
g.4,g.35,nonAdjacent
g.4,g.29,nonAdjacent
g.4,g.28,nonAdjacent
g.4,g.36,nonAdjacent
g.4,g.30,nonAdjacent
g.4,g.27,nonAdjacent
g.4,g.25,nonAdjacent
g.4,g.6.19,nonAdjacent
g.4,g.22,nonAdjacent
g.4,g.20,nonAdjacent
g.4,g.21,nonAdjacent
g.4,g.23,nonAdjacent
g.4,g.24,nonAdjacent
g.4,g.26,nonAdjacent
g.4,g.39.41.43.45,nonAdjacent
g.4,g.46,nonAdjacent
g.4,g.63.64,nonAdjacent
g.4,g.66,nonAdjacent
g.4,g.48.52.53.55.59.65.113.115,nonAdjacent
g.4,g.37.67,nonAdjacent
g.4,g.68,nonAdjacent
g.5.8,g.111,half_right
g.5.8,g.9,half_left
g.5.8,g.10,nonAdjacent
g.5.8,g.112,nonAdjacent
g.5.8,g.12.14.16,nonAdjacent
g.5.8,g.34,nonAdjacent
g.5.8,g.31,half_left
g.5.8,g.33,nonAdjacent
g.5.8,g.32,nonAdjacent
g.5.8,g.17,nonAdjacent
g.5.8,g.35,nonAdjacent
g.5.8,g.29,nonAdjacent
g.5.8,g.28,nonAdjacent
g.5.8,g.36,nonAdjacent
g.5.8,g.30,nonAdjacent
g.5.8,g.27,nonAdjacent
g.5.8,g.25,nonAdjacent
g.5.8,g.6.19,nonAdjacent
g.5.8,g.22,nonAdjacent
g.5.8,g.20,nonAdjacent
g.5.8,g.21,nonAdjacent
g.5.8,g.23,nonAdjacent
g.5.8,g.24,nonAdjacent
g.5.8,g.26,nonAdjacent
g.5.8,g.39.41.43.45,nonAdjacent
g.5.8,g.46,nonAdjacent
g.5.8,g.63.64,nonAdjacent
g.5.8,g.66,nonAdjacent
g.5.8,g.48.52.53.55.59.65.113.115,nonAdjacent
g.5.8,g.37.67,nonAdjacent
g.5.8,g.68,nonAdjacent
g.111,g.9,left_of
g.111,g.10,nonAdjacent
g.111,g.112,left_of
g.111,g.12.14.16,nonAdjacent
g.111,g.34,nonAdjacent
g.111,g.31,nonAdjacent
g.111,g.33,nonAdjacent
g.111,g.32,nonAdjacent
g.111,g.17,nonAdjacent
g.111,g.35,nonAdjacent
g.111,g.29,nonAdjacent
g.111,g.28,nonAdjacent
g.111,g.36,nonAdjacent
g.111,g.30,nonAdjacent
g.111,g.27,nonAdjacent
g.111,g.25,half_right
g.111,g.6.19,nonAdjacent
g.111,g.22,nonAdjacent
g.111,g.20,nonAdjacent
g.111,g.21,nonAdjacent
g.111,g.23,nonAdjacent
g.111,g.24,nonAdjacent
g.111,g.26,nonAdjacent
g.111,g.39.41.43.45,nonAdjacent
g.111,g.46,nonAdjacent
g.111,g.63.64,nonAdjacent
g.111,g.66,nonAdjacent
g.111,g.48.52.53.55.59.65.113.115,nonAdjacent
g.111,g.37.67,nonAdjacent
g.111,g.68,nonAdjacent
g.9,g.10,right_of
g.9,g.112,nonAdjacent
g.9,g.12.14.16,front_of
g.9,g.34,nonAdjacent
g.9,g.31,nonAdjacent
g.9,g.33,nonAdjacent
g.9,g.32,nonAdjacent
g.9,g.17,nonAdjacent
g.9,g.35,nonAdjacent
g.9,g.29,nonAdjacent
g.9,g.28,nonAdjacent
g.9,g.36,nonAdjacent
g.9,g.30,nonAdjacent
g.9,g.27,nonAdjacent
g.9,g.25,nonAdjacent
g.9,g.6.19,nonAdjacent
g.9,g.22,nonAdjacent
g.9,g.20,nonAdjacent
g.9,g.21,nonAdjacent
g.9,g.23,nonAdjacent
g.9,g.24,nonAdjacent
g.9,g.26,nonAdjacent
g.9,g.39.41.43.45,nonAdjacent
g.9,g.46,nonAdjacent
g.9,g.63.64,nonAdjacent
g.9,g.66,nonAdjacent
g.9,g.48.52.53.55.59.65.113.115,nonAdjacent
g.9,g.37.67,nonAdjacent
g.9,g.68,nonAdjacent
g.10,g.112,left_of
g.10,g.12.14.16,left_of
g.10,g.34,nonAdjacent
g.10,g.31,nonAdjacent
g.10,g.33,nonAdjacent
g.10,g.32,nonAdjacent
g.10,g.17,nonAdjacent
g.10,g.35,nonAdjacent
g.10,g.29,nonAdjacent
g.10,g.28,nonAdjacent
g.10,g.36,nonAdjacent
g.10,g.30,nonAdjacent
g.10,g.27,half_left
g.10,g.25,nonAdjacent
g.10,g.6.19,nonAdjacent
g.10,g.22,nonAdjacent
g.10,g.20,nonAdjacent
g.10,g.21,nonAdjacent
g.10,g.23,nonAdjacent
g.10,g.24,nonAdjacent
g.10,g.26,nonAdjacent
g.10,g.39.41.43.45,nonAdjacent
g.10,g.46,nonAdjacent
g.10,g.63.64,nonAdjacent
g.10,g.66,nonAdjacent
g.10,g.48.52.53.55.59.65.113.115,nonAdjacent
g.10,g.37.67,nonAdjacent
g.10,g.68,nonAdjacent
g.112,g.12.14.16,nonAdjacent
g.112,g.34,nonAdjacent
g.112,g.31,nonAdjacent
g.112,g.33,nonAdjacent
g.112,g.32,nonAdjacent
g.112,g.17,nonAdjacent
g.112,g.35,nonAdjacent
g.112,g.29,nonAdjacent
g.112,g.28,nonAdjacent
g.112,g.36,nonAdjacent
g.112,g.30,nonAdjacent
g.112,g.27,half_right
g.112,g.25,sharp_right_of
g.112,g.6.19,nonAdjacent
g.112,g.22,nonAdjacent
g.112,g.20,nonAdjacent
g.112,g.21,nonAdjacent
g.112,g.23,nonAdjacent
g.112,g.24,nonAdjacent
g.112,g.26,nonAdjacent
g.112,g.39.41.43.45,nonAdjacent
g.112,g.46,nonAdjacent
g.112,g.63.64,nonAdjacent
g.112,g.66,nonAdjacent
g.112,g.48.52.53.55.59.65.113.115,nonAdjacent
g.112,g.37.67,nonAdjacent
g.112,g.68,nonAdjacent
g.12.14.16,g.34,right_of
g.12.14.16,g.31,nonAdjacent
g.12.14.16,g.33,nonAdjacent
g.12.14.16,g.32,nonAdjacent
g.12.14.16,g.17,right_of
g.12.14.16,g.35,nonAdjacent
g.12.14.16,g.29,nonAdjacent
g.12.14.16,g.28,nonAdjacent
g.12.14.16,g.36,nonAdjacent
g.12.14.16,g.30,nonAdjacent
g.12.14.16,g.27,nonAdjacent
g.12.14.16,g.25,nonAdjacent
g.12.14.16,g.6.19,nonAdjacent
g.12.14.16,g.22,nonAdjacent
g.12.14.16,g.20,nonAdjacent
g.12.14.16,g.21,nonAdjacent
g.12.14.16,g.23,nonAdjacent
g.12.14.16,g.24,nonAdjacent
g.12.14.16,g.26,nonAdjacent
g.12.14.16,g.39.41.43.45,nonAdjacent
g.12.14.16,g.46,nonAdjacent
g.12.14.16,g.63.64,nonAdjacent
g.12.14.16,g.66,nonAdjacent
g.12.14.16,g.48.52.53.55.59.65.113.115,nonAdjacent
g.12.14.16,g.37.67,nonAdjacent
g.12.14.16,g.68,nonAdjacent
g.34,g.31,nonAdjacent
g.34,g.33,left_of
g.34,g.32,nonAdjacent
g.34,g.17,front_of
g.34,g.35,nonAdjacent
g.34,g.29,nonAdjacent
g.34,g.28,nonAdjacent
g.34,g.36,nonAdjacent
g.34,g.30,nonAdjacent
g.34,g.27,nonAdjacent
g.34,g.25,nonAdjacent
g.34,g.6.19,nonAdjacent
g.34,g.22,nonAdjacent
g.34,g.20,nonAdjacent
g.34,g.21,nonAdjacent
g.34,g.23,nonAdjacent
g.34,g.24,nonAdjacent
g.34,g.26,nonAdjacent
g.34,g.39.41.43.45,left_of
g.34,g.46,nonAdjacent
g.34,g.63.64,nonAdjacent
g.34,g.66,nonAdjacent
g.34,g.48.52.53.55.59.65.113.115,nonAdjacent
g.34,g.37.67,nonAdjacent
g.34,g.68,nonAdjacent
g.31,g.33,front_of
g.31,g.32,right_of
g.31,g.17,nonAdjacent
g.31,g.35,nonAdjacent
g.31,g.29,nonAdjacent
g.31,g.28,nonAdjacent
g.31,g.36,nonAdjacent
g.31,g.30,nonAdjacent
g.31,g.27,nonAdjacent
g.31,g.25,nonAdjacent
g.31,g.6.19,nonAdjacent
g.31,g.22,nonAdjacent
g.31,g.20,nonAdjacent
g.31,g.21,nonAdjacent
g.31,g.23,nonAdjacent
g.31,g.24,nonAdjacent
g.31,g.26,nonAdjacent
g.31,g.39.41.43.45,nonAdjacent
g.31,g.46,nonAdjacent
g.31,g.63.64,nonAdjacent
g.31,g.66,nonAdjacent
g.31,g.48.52.53.55.59.65.113.115,nonAdjacent
g.31,g.37.67,nonAdjacent
g.31,g.68,nonAdjacent
g.33,g.32,right_of
g.33,g.17,nonAdjacent
g.33,g.35,nonAdjacent
g.33,g.29,nonAdjacent
g.33,g.28,nonAdjacent
g.33,g.36,nonAdjacent
g.33,g.30,nonAdjacent
g.33,g.27,nonAdjacent
g.33,g.25,nonAdjacent
g.33,g.6.19,nonAdjacent
g.33,g.22,nonAdjacent
g.33,g.20,nonAdjacent
g.33,g.21,nonAdjacent
g.33,g.23,nonAdjacent
g.33,g.24,nonAdjacent
g.33,g.26,nonAdjacent
g.33,g.39.41.43.45,front_of
