Base Map,Sketch Maps,Generalization,Completeness_Streets(%),Completeness_Buildings(%),QualitativeAccuracy_Recall,QualitativeAccuracy_Precision,Generalization_OmissionMerge,Generalization_OmissionMerge(many-many),Generalization_Street_AbstractionToShowExistence,Generalization_JuctionMerge,Generalization_RoundaboutCollapse,Generalization_Amalgamation,Generalization_Collapse,Generalization_Building_AbstractionToShowExistence,QualitativeAccuracy_BuildingTopology(RCC8),QualitativeAccuracy_StreetBuildingTopology(DE9IM),QualitativeAccuracy_StreetsOrientation(OPRA),QualitativeAccuracy_StreetsConnectedness,QualitativeAccuracy_BuildingRoute_LeftRight,QualitativeAccuracy_BuildingRoute_LinearOrdering,GMDA_CanOrg_Buildings,GMDA_CanAcc_Buildings,GMDA_ScBias_Buildings,GMDA_DistAcc_Buildings,GMDA_RotBias_Buildings,GMDA_AngAcc_Buildings,GMDA_CanOrg_Junctions,GMDA_CanAcc_Junctions,GMDA_ScBias_Junctions,GMDA_DistAcc_Junctions,GMDA_RotBias_Junctions,GMDA_AngAcc_Junctions
_location5.png,AS_Sketch_1.png,11,46.15,8.70,0.94,0.94,9,0,0,0,2,0,0,0,100,0,56.25,100,0,0,0.00,0.88,0.11,0.89,-11.08,0.91,0.28,0.91,-0.01,0.94,-8.81,0.95
_location5.png,AS_Sketch_2.png,10,61.54,100.00,0.96,0.96,6,0,0,1,2,1,0,0,100,0,62.82,100,66.67,33.33,0.94,0.94,0.00,0.95,-9.00,0.93,0.37,0.89,0.02,0.95,-5.34,0.96
_location5.png,AS_Sketch_3.png,7,63.79,30.43,0.95,0.94,7,0,0,0,0,0,0,0,71.43,0,47.83,100,66.67,33.33,0.06,0.93,0.01,0.91,-10.68,0.91,0.53,0.91,0.01,0.95,-10.93,0.94
_location5.png,AS_Sketch_4.png,11,27.08,100.00,0.85,0.76,5,1,2,0,2,0,0,1,100,0,43.75,81.82,33.33,100,0.97,0.97,-0.02,0.96,-8.10,0.95,0.04,0.96,0.01,0.94,-3.12,0.96
_location5.png,AS_Sketch_5.png,9,22.22,100.00,0.91,0.75,6,0,0,0,2,1,0,0,100,0,38.89,83.33,50,50,0.93,0.93,-0.03,0.93,-7.64,0.93,0.03,0.87,-0.03,0.96,-11.37,0.93
_location5.png,AS_Sketch_6.png,11,29.79,85.71,0.9,0.9,5,1,2,0,2,1,0,0,100,0,50,100,80,100,0.67,0.94,0.00,0.97,-8.24,0.94,0.05,1.0,0.0,0.97,-2.88,0.98
_location5.png,AS_Sketch_7.png,9,16.39,60.00,0.84,0.86,5,0,0,0,2,2,0,0,100,0,53.33,100,50,0,0.26,0.88,0.01,0.93,-1.70,0.93,0.02,0.9,-0.0,0.93,-2.55,0.94
_location5.png,AS_Sketch_8.png,10,38.60,71.43,0.91,0.9,7,0,0,0,1,2,0,0,99.05,0,26.67,97.4,100,100,0.45,0.91,0.04,0.94,-14.10,0.90,0.15,0.91,0.05,0.91,-9.19,0.94
_location5.png,AS_Sketch_9.png,9,41.67,50.00,0.92,0.91,8,0,0,0,0,0,0,1,100,0,41.67,99,100,100,0.10,1.00,-0.04,0.96,-10.99,0.94,0.18,0.92,0.02,0.95,-7.04,0.95
_location5.png,AS_Sketch_10.png,8,87.88,72.73,0.97,0.97,6,0,0,1,0,1,0,0,99.17,0,50,100,66.67,50,0.49,0.94,0.05,0.94,-9.10,0.93,0.88,0.93,-0.01,0.95,-5.6,0.96
_location5.png,CM_Sketch_1.png,11,46.15,8.70,0.93,0.93,9,0,0,0,2,0,0,0,100,0,52.08,100,0,0,0.00,0.88,0.11,0.89,-9.58,0.92,0.28,0.91,-0.02,0.94,-8.71,0.95
_location5.png,CM_Sketch_2.png,8,54.55,100.00,0.96,0.91,4,0,0,1,2,1,0,0,100,0,65.22,94.44,66.67,33.33,0.94,0.94,-0.01,0.95,-8.84,0.93,0.28,0.88,0.02,0.95,-6.41,0.95
