Location,XX,Skm,CanOrg,CanAcc,ScBias,DistAcc,RotBias,AngAcc
3,AS,1,0.04,0.83,-0.08,0.91,-30.14,0.83
3,AS,2,0.11,0.94,-0.02,0.91,-1.79,0.91
3,AS,3,0.12,0.96,0.06,0.92,-5.37,0.94
3,AS,4,0.2,0.95,-0.04,0.92,6.43,0.94
3,AS,5,0.02,0.99,-0.01,0.88,-4.32,0.92
3,AS,6,0.1,0.88,-0.01,0.91,-10.71,0.9
3,AS,7,0.02,0.92,-0.01,0.92,-19.43,0.89
3,AS,8,0.39,0.91,0.03,0.92,-13.65,0.9
3,AS,9,0.05,0.89,-0.09,0.87,-13.0,0.91
3,AS,10,0.0,0.0,0.0,1.0,0.0,1.0
3,CM,1,0.04,0.83,-0.08,0.91,-30.29,0.83
3,CM,2,0.19,0.93,0.0,0.92,0.42,0.91
3,CM,3,0.13,0.96,0.06,0.92,-5.1,0.95
3,CM,4,0.2,0.94,-0.03,0.93,5.6,0.94
3,CM,5,0.02,0.99,-0.01,0.88,-4.23,0.92
3,CM,6,0.11,0.87,-0.02,0.91,-10.56,0.91
3,CM,7,0.02,0.92,-0.01,0.92,-19.06,0.89
3,CM,8,0.37,0.92,0.03,0.93,-12.55,0.92
3,CM,9,0.07,0.9,-0.08,0.87,-13.17,0.91
3,CM,10,0.1,0.49,-0.01,0.97,-15.32,0.95
3,JK,1,0.04,0.83,-0.08,0.91,-30.41,0.83
3,JK,2,0.13,0.94,-0.02,0.91,-1.97,0.91
3,JK,3,0.17,0.96,0.06,0.92,-5.07,0.95
3,JK,4,0.23,0.95,-0.04,0.92,6.65,0.94
3,JK,5,0.02,0.99,-0.01,0.88,-3.83,0.92
3,JK,6,0.08,0.86,-0.04,0.91,-5.88,0.92
3,JK,7,0.02,0.92,-0.01,0.92,-19.23,0.89
3,JK,8,0.4,0.91,0.03,0.93,-12.56,0.91
3,JK,9,0.04,0.9,-0.03,0.86,-12.31,0.91
3,JK,10,0.09,0.49,-0.01,0.97,-15.28,0.95
