Location,XX,Skm,CanOrg,CanAcc,ScBias,DistAcc,RotBias,AngAcc
1,AS,1,0.18,0.63,0.0,0.93,-24.35,0.68
1,CM,1,0.18,0.63,0.01,0.93,-24.55,0.68
1,JK,1,0.18,0.63,0.01,0.93,-22.49,0.68
2,AS,1,0.07,0.82,-0.01,0.95,1.19,0.86
2,CM,1,0.11,0.78,0.0,0.95,6.11,0.83
2,JK,1,0.11,0.78,0.0,0.95,6.07,0.83
3,AS,1,0.03,0.91,-0.04,0.93,-21.47,0.88
3,CM,1,0.03,0.91,-0.05,0.93,-21.51,0.88
3,JK,1,0.03,0.91,-0.04,0.93,-21.67,0.88
4,AS,1,0.09,0.92,-0.05,0.91,-9.4,0.9
4,CM,1,0.09,0.92,-0.05,0.91,-9.35,0.9
4,JK,1,0.09,0.92,-0.05,0.91,-9.49,0.9
5,AS,1,0.0,0.88,0.11,0.89,-11.08,0.91
5,CM,1,0.0,0.88,0.11,0.89,-9.58,0.92
5,JK,1,0.0,0.88,0.09,0.9,-9.45,0.92
